"spp1" "spp2" "SchoenersD" "modifiedHellingersI"
"1" "bangsi" "bilineata" "0.131927142113126" "0.35364640848125"
"2" "bangsi" "grisea" "0.311774884898026" "0.49719856109544"
"3" "bangsi" "opuntia" "0.118406896080836" "0.14805973230459"
"4" "bangsi" "pacifica" "0.188830856819049" "0.385519958984163"
"5" "bilineata" "grisea" "0.187122764548552" "0.315070980304981"
"6" "bilineata" "opuntia" "0.205477252599438" "0.394597668970365"
"7" "bilineata" "pacifica" "0.0589432653258999" "0.21271204365487"
"8" "grisea" "opuntia" "0.236403205368753" "0.335901569668857"
"9" "grisea" "pacifica" "0.175384134238015" "0.376960595861207"
"10" "opuntia" "pacifica" "0.135655954792017" "0.294413874814271"
