assigned,longitude,latitude
bangsi,-109.426411,23.445531
bangsi,-110.249341,23.456756
bangsi,-110.346444,24.105917
bangsi,-110.427227,24.042075
bangsi,-111.051667,25.675
bangsi,-110.8,25.633333
bangsi,-110.583333,25
bangsi,-111.853333,24.661667
bangsi,-113.033333,28.883333
bangsi,-111.250581,25.783654
bangsi,-110.250553,23.950409
bangsi,-109.69,23.055
bangsi,-109.800539,22.960457
bangsi,-116.263333,31.135556
bangsi,-110.250553,24.1504
bangsi,-109.848333,23.94
bangsi,-112.116667,25.733333
bangsi,-112.221667,24.908889
bangsi,-110.416667,24.466667
bangsi,-112.468333,27.376667
bangsi,-112.893953,27.298583
bangsi,-112.300611,27.366923
bangsi,-110.305,24.266667
bangsi,-109.855546,24.235398
bangsi,-110.083333,23.15
bangsi,-110.5916667,24.877778
bangsi,-110.3788889,34.1063889
bangsi,-112.587287,27.4119201
bangsi,-111.845587,24.4620501
bangsi,-110.333886,24.4170579
bangsi,-112.883959,28.3835397
bangsi,-112.117267,25.3620091
bangsi,-111.1166667,26
bangsi,-112.133924,24.7336968
bangsi,-113.145625,26.881939584
bangsi,-112.2456,27.22025
