assigned,longitude,latitude
bilineata,-104.388361,29.560559
bilineata,-99.603209,30.489062
bilineata,-97.419,28.185
bilineata,-101.980693,31.915084
bilineata,-98.672,29.03
bilineata,-98.965724,29.004819
bilineata,-100.739529,25.650364
bilineata,-100.183333,23.890221
bilineata,-99.2,25.8
bilineata,-121.900002,36.599998
bilineata,-104.666664,30.816668
bilineata,-99.32056,28.504288
bilineata,-98.23333,26.4
bilineata,-98.451897,28.932651
bilineata,-98.714722,29.158611
bilineata,-97.22,26.076
bilineata,-97.615222,26.455911
bilineata,-98.797397,29.233809
bilineata,-99.069584,28.43657
bilineata,-98.493345,29.481003
bilineata,-98.745318,29.354103
bilineata,-101.639942,30.69028
bilineata,-97.51333,27.53556
bilineata,-97.696102,26.190631
bilineata,-110.8,25.633333
bilineata,-110.713539,25.285941
bilineata,-100.11338,25.49554
bilineata,-98.15,24.85
bilineata,-99.2506,31.2504
bilineata,-97.755417,30.305945
bilineata,-99.00581,24.405985
bilineata,-100.688497,31.396055
bilineata,-98.323677,29.818405
bilineata,-100.423333,25.366667
bilineata,-98.07233,28.421235
bilineata,-98.82,26.379
bilineata,-98.33057,26.157818
bilineata,-99.525146,27.51969
bilineata,-112.548349,33.5882664
bilineata,-109.2046978,38.7992853
bilineata,-115.6435916667,30.0809194444
bilineata,-99.1697001373,29.2841300435
bilineata,-116.7506030005,39.4500558728
bilineata,-100.2247421786,29.9617155021
bilineata,-100.9875127578,37.9346921345
bilineata,-114.7697490416,29.2489229197
bilineata,-119.7896296689,42.4788438911
bilineata,-113.6867394408,41.9962879484
bilineata,-103.88253,30.2751333333
bilineata,-120.0204066667,38.7941783333
bilineata,-103.2882067796,25.6039151801
bilineata,-104.9355394239,30.8060941021
bilineata,-100.4601304327,25.6493909522
bilineata,-103.5618,37.6489
bilineata,-108.7239,39.0514
bilineata,-112.1087783076,36.0195726312
bilineata,-112.694825,33.933081
bilineata,-100.622636798,26.1245040709
bilineata,-116.0776841366,32.575872974
bilineata,-113.199378784,33.6247959215
