assigned,longitude,latitude
deserticola,-117.99028,35.373437
deserticola,-109.508,31.591
deserticola,-109.273,31.34
deserticola,-109.716,31.5633
deserticola,-112.8079,31.941
deserticola,-112.685113,37.100654
deserticola,-109.06,31.815
deserticola,-112.2297,32.738
deserticola,-117.371833,36.96528
deserticola,-116.25437,34.0363
deserticola,-117.494342,36.586122
deserticola,-115.88875,35.77383
deserticola,-116.39664,34.05669
deserticola,-110.9487,31.73
deserticola,-115.4104,35.1778
deserticola,-116.09397,33.8955
deserticola,-108.998,39.309
deserticola,-110.02623,31.87753
deserticola,-114.069,34.285
deserticola,-119.73032,38.81029
deserticola,-108.629,39.0245
deserticola,-109.0207,39.1717
deserticola,-112.72,32.067
deserticola,-109.224,37.468
deserticola,-113.823,37.101
deserticola,-108.3078,39.1878
deserticola,-111.6628,33.5492
deserticola,-116.093,30.973
deserticola,-120.201602,40.938283
deserticola,-116.263761,32.857527
deserticola,-115.431667,31.828611
deserticola,-114.833889,29.702778
deserticola,-106.151667,28.781667
deserticola,-114.683334,35.166668
deserticola,-116.3035,32.952
deserticola,-114.87459,33.162926
deserticola,-114.837823,32.816697
deserticola,-115.100528,33.24059
deserticola,-120.278365,40.41565
deserticola,-116.459061,33.966307
deserticola,-117.82,35.65
deserticola,-111.501854,31.574812
deserticola,-118.112462,35.748775
deserticola,-110.21424,31.904252
deserticola,-117.09056,34.57028
deserticola,-117.63,35.38
deserticola,-112.270014,34.247865
deserticola,-110.783333,31.85
deserticola,-111.39528,31.8825
deserticola,-115.34,30.456667
deserticola,-111.3129662,32.8456452
deserticola,-115.183333,27.895
deserticola,-108.6177725,32.9681507
deserticola,-108.6121442,33.0792545
deserticola,-114.0527525,35.1458652
deserticola,-108.708657,32.34942
deserticola,-109.093323,31.954753
deserticola,-108.9292,31.4169
deserticola,-108.7375,32.6861
deserticola,-116.4361723,33.5264357
deserticola,-117.361517,34.54078
deserticola,-111.294725,32.077301
deserticola,-108.8333,37.3489
deserticola,-109.027449,37.321881
deserticola,-111.161235,33.671715
deserticola,-100.811233,38.032408
deserticola,-111.888847,31.96905
deserticola,-118.006473,36.281881
deserticola,-114.868995,27.801894
deserticola,-115.083333,27.846667
deserticola,-111.983333,27.433333
deserticola,-113.3,33.8
deserticola,-112.147398,31.823303
deserticola,-111.445,28.396667
deserticola,-115.195556,28.080833
deserticola,-106.35,33.916667
deserticola,-106.45,33.7
deserticola,-111.05,30.05
deserticola,-114.316667,33.083333
deserticola,-113.5,33.666667
deserticola,-111.183333,31.433333
deserticola,-110.09722,31.43833
deserticola,-103.19944,29.365
deserticola,-112.2806044,28.778466
deserticola,-112.186852,33.276769
deserticola,-113.743333,28.742778
deserticola,-117.8177289,34.5058808
deserticola,-111.09623,33.38202
deserticola,-113.492058,37.090543
deserticola,-113.327205,37.176212
deserticola,-117.0977443,36.9652004
deserticola,-117.321715,34.389386
deserticola,-115.5885532,35.542585
