assigned,longitude,latitude
opuntia,-106.479004,35.13644
opuntia,-111.168526,32.241634
opuntia,-116.0166,33.9842
opuntia,-111.4867,36.9367
opuntia,-102.939053,29.60368
opuntia,-96.32167,31.14528
opuntia,-106.563606,31.910205
opuntia,-104.800411,31.915926
opuntia,-103.442239,29.212977
opuntia,-104.59004,30.220419
opuntia,-107.381744,32.490072
opuntia,-106.605835,32.305706
opuntia,-103.599583,30.097184
opuntia,-104.277249,29.478396
opuntia,-97.06972,31.45389
opuntia,-97.742028,31.962513
opuntia,-102.566667,29.05
opuntia,-102.650278,29.690411
opuntia,-105.3235471,31.058001
opuntia,-99.633333,25.3
opuntia,-103.199894,29.365199
opuntia,-103.301002,29.266001
opuntia,-103.81722,30.248466
opuntia,-104.595086,29.982753
opuntia,-103.539431,30.735166
opuntia,-104.21667,31.156262
opuntia,-104.83028,31.475183
opuntia,-104.47,32.02
opuntia,-104.55922,31.039437
opuntia,-106.333893,32.76675
opuntia,-109.832024,32.252873
opuntia,-103.94854,30.75
opuntia,-103.8273376,30.3849235
opuntia,-103.6575929,30.4524996
opuntia,-103.0598561,29.8169754
opuntia,-103.7049293,30.339843
opuntia,-105.20405,30.81835
opuntia,-103.27945,30.1742
opuntia,-104.841156,31.2433337
opuntia,-102.62872,22.81381
opuntia,-103.22373,23.57377
opuntia,-106.258101,33.0736997
opuntia,-102.9666666667,36.9666666667
