"name"	"longitude"	"latitude"	"subspecies"	"bangsi"	"opuntia"	"numSubsppGroups"	"assigned"
"Amphispiza bilineata (Cassin, 1850)"	-106.45	31.9	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.24	23.44	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-101.64	24.55	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.68	32.22	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.67	32.22	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.66	32.22	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-106.49	31.84	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.48	33.98	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.86	33.65	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.42	33.27	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.86	33.5	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-106.11	32.41	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.43	33.24	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.41	33.25	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.43	33.28	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.39	33.36	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.37	33.25	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-103.7	30.92	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.43	24.13	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-104.44	32.18	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.16	32.25	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.84	33.76	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.81	32.32	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.1	32.45	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.17	31.64	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.7	32.22	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.66	32.26	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-114.37	32.61	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.8	33.77	"unknown"	0	0	0	"none"
