"name"	"longitude"	"latitude"	"subspecies"	"bangsi"	"belvederei"	"numSubsppGroups"	"assigned"
"Amphispiza bilineata (Cassin, 1850)"	-110.43	24.13	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.33	24.3	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.29	24.26	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.3	24.26	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.32	24.32	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.31	24.27	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.38	24.56	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-109.64	23.62	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.29	24.17	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.37	24.48	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.31	24.09	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.71	25.04	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.58	25.01	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.26	24.2	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.19	24.09	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.31	24.14	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-109.83	23.99	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.09	24	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.52	24.18	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.1	24.01	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.3	24.1	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.3	24.09	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-109.97	24.04	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-109.7	23.8	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.33	24.28	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-111.69	24.46	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-109.73	23.8	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-111	24.07	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-112.04	24.75	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-109.68	23.64	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.2	24.08	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.57	24.83	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-112.13	24.63	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.32	24.3	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.58	24.83	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.3	24.21	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-109.7	23.7	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.31	24.34	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.56	24.82	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.57	24.82	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.38	24.51	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-112.12	25.19	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.18	24.08	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-109.72	23.76	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-112.14	24.73	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata (Cassin, 1850)"	-110.34	24.17	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.1	24.01	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.3	24.09	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.31	24.09	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.3	24.1	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.52	24.18	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.09	24	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-109.83	23.99	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.56	24.82	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.43	24.18	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.31	24.14	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.29	24.09	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.15	24.02	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.19	24.09	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.26	24.2	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.58	25.01	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.71	25.04	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.37	24.46	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.31	24.28	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.37	24.48	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.29	24.17	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-109.64	23.62	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.38	24.56	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.31	24.27	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.32	24.32	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.3	24.26	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.29	24.26	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.33	24.3	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.43	24.13	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.57	24.82	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.38	24.51	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-111.73	24.69	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-109.99	24.05	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.3	24.11	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.29	24.11	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-112.13	24.62	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.24	24.15	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.25	23.94	"unknown"	0	1	1	"belvederei"
"Amphispiza bilineata"	-110.23	24.16	"unknown"	0	1	1	"belvederei"
