assigned,longitude,latitude
bangsi,-110.234986,23.438147
bangsi,-110.583333,25
bangsi,-111.116667,26
bangsi,-113.052305,28.86852
bangsi,-109.69,23.055
bangsi,-109.800539,22.960457
bangsi,-116.263333,31.135556
bangsi,-110.25,24.15
bangsi,-109.848333,23.94
bangsi,-112.587287,27.41192
bangsi,-112.133924,24.733697
bangsi,-112.116667,25.733333
bangsi,-110.0837071,23.1504088
bangsi,-112.221667,24.908889
bangsi,-110.333333,24.416667
bangsi,-111.838333,24.661667
bangsi,-110.591667,24.877778
bangsi,-112.468944,27.376922
bangsi,-112.893953,27.298583
bangsi,-112.245609,27.220259
bangsi,-112.300611,27.366923
bangsi,-109.855546,24.235398
bangsi,-109.4264111111,23.4455305556
bangsi,-111.052247,25.6753297
bangsi,-110.3788889,34.1063889
bangsi,-112.883959,28.3835397
bangsi,-112.117267,25.3620091
bangsi,-110.800571,25.6336625
bangsi,-110.4166667,24.4666667
bangsi,-113.145625,26.881939584
bangsi,-110.25055,23.9504
bangsi,-110.33944,24.31789
bangsi,-111.805586,24.4620503
bangsi,-110.3411111,24.111667
bangsi,-110.427227,24.0420745
bangsi,-111.250581,25.7836542
