assigned,longitude,latitude
bilineata,-104.388361,29.560559
bilineata,-99.603209,30.489062
bilineata,-99.088716,27.528948
bilineata,-101.980693,31.915084
bilineata,-98.672,29.03
bilineata,-98.965724,29.004819
bilineata,-98.161218,26.858015
bilineata,-100.183333,23.890221
bilineata,-99.2,25.8
bilineata,-121.900002,36.599998
bilineata,-104.666664,30.816668
bilineata,-99.32056,28.504288
bilineata,-97.484436,26.187483
bilineata,-98.797397,29.233809
bilineata,-99.069584,28.43657
bilineata,-98.493345,29.481003
bilineata,-98.219365,26.422958
bilineata,-97.337482,26.067547
bilineata,-98.83244,28.858702
bilineata,-97.51333,27.53556
bilineata,-99.825,28.691
bilineata,-112.933333,28.416667
bilineata,-110.713539,25.285941
bilineata,-112.583333,28.686667
bilineata,-101.116669,27.85
bilineata,-100.11338,25.49554
bilineata,-99.2506,31.2504
bilineata,-97.755417,30.305945
bilineata,-97.3961,27.8003
bilineata,-99.00581,24.405985
bilineata,-100.688497,31.396055
bilineata,-98.323677,29.818405
bilineata,-100.423333,25.366667
bilineata,-98.07233,28.421235
bilineata,-98.456402,29.233573
bilineata,-98.33057,26.157818
bilineata,-116.7506030005,39.4500558728
bilineata,-100.2247421786,29.9617155021
bilineata,-100.9875127578,37.9346921345
bilineata,-114.7697490416,29.2489229197
bilineata,-119.7896296689,42.4788438911
bilineata,-113.6867394408,41.9962879484
bilineata,-110.3060787544,24.090384944
bilineata,-120.0204066667,38.7941783333
bilineata,-112.1918333333,33.6928466667
bilineata,-103.2882067796,25.6039151801
bilineata,-104.9355394239,30.8060941021
bilineata,-108.7239,39.0514
bilineata,-112.1087783076,36.0195726312
bilineata,-106.299235,31.759075
bilineata,-111.1598138333,33.2793966667
bilineata,-100.622636798,26.1245040709
bilineata,-116.0776841366,32.575872974
bilineata,-113.199378784,33.6247959215
bilineata,-103.4424024448,29.4332502336
bilineata,-110.8017101177,31.7992516936
bilineata,-101.0424947442,26.8326377229
bilineata,-106.347084,31.943281
