assigned,longitude,latitude
deserticola,-110.8726,32.328
deserticola,-117.99028,35.373437
deserticola,-109.508,31.591
deserticola,-113.513438,29.013811
deserticola,-109.716,31.5633
deserticola,-112.685113,37.100654
deserticola,-112.2297,32.738
deserticola,-117.371833,36.96528
deserticola,-117.106823,36.95311
deserticola,-115.88875,35.77383
deserticola,-115.409,35.177
deserticola,-115.5147,35.2852
deserticola,-115.39384,35.00698
deserticola,-108.998,39.309
deserticola,-110.02623,31.87753
deserticola,-114.069,34.285
deserticola,-119.73032,38.81029
deserticola,-108.629,39.0245
deserticola,-109.0207,39.1717
deserticola,-112.72,32.067
deserticola,-109.224,37.468
deserticola,-113.823,37.101
deserticola,-111.487,31.587
deserticola,-108.3078,39.1878
deserticola,-111.6628,33.5492
deserticola,-116.093,30.973
deserticola,-118.19885,35.68787
deserticola,-109.451,32.153
deserticola,-120.201602,40.938283
deserticola,-115.431667,31.828611
deserticola,-114.833889,29.702778
deserticola,-106.151667,28.781667
deserticola,-114.683334,35.166668
deserticola,-114.716667,35.066666
deserticola,-116.3035,32.952
deserticola,-114.837823,32.816697
deserticola,-115.071918,32.997541
deserticola,-115.916664,33.583332
deserticola,-115.100528,33.24059
deserticola,-115.233557,33.258391
deserticola,-115.33137,33.337532
deserticola,-120.177788,40.311416
deserticola,-115.6282668,34.8088236
deserticola,-117.82,35.65
deserticola,-118.112462,35.748775
deserticola,-117.09056,34.57028
deserticola,-116.882901,34.462445
deserticola,-112.1699,34.291217
deserticola,-117.63,35.38
deserticola,-119.2738866,38.6764976
deserticola,-111.39528,31.8825
deserticola,-103.69441,30.444776
deserticola,-115.966751,34.842649
deserticola,-118.100109,37.431319
deserticola,-115.340692,30.456789
deserticola,-108.6121442,33.0792545
deserticola,-116.312092,34.037971
deserticola,-114.0527525,35.1458652
deserticola,-108.708657,32.34942
deserticola,-108.992993,31.36929
deserticola,-108.7375,32.6861
deserticola,-112.84,31.858333
deserticola,-117.361517,34.54078
deserticola,-110.188411,31.723146
deserticola,-111.294725,32.077301
deserticola,-109.027449,37.321881
deserticola,-108.8833,37.3489
deserticola,-111.161235,33.671715
deserticola,-100.811233,38.032408
deserticola,-111.888847,31.96905
deserticola,-110.721256,32.047289
deserticola,-110.829903,32.139647
deserticola,-116.2352448,33.9625256
deserticola,-114.868995,27.801894
deserticola,-115.083333,27.846667
deserticola,-111.983333,27.433333
deserticola,-109.266667,31.333333
deserticola,-109.083333,31.316667
deserticola,-112.147398,31.823303
deserticola,-111.445,28.396667
deserticola,-106.466667,33.766667
deserticola,-106.35,33.916667
deserticola,-111.05,30.05
deserticola,-114.316667,33.083333
deserticola,-111.183333,31.433333
deserticola,-112.866667,34.033333
deserticola,-110.09722,31.43833
deserticola,-103.19944,29.365
deserticola,-115.25,27.883333
deserticola,-118.852186,39.473529
deserticola,-118.132021,34.700474
deserticola,-112.186852,33.276769
deserticola,-113.743333,28.742778
deserticola,-111.09623,33.38202
deserticola,-113.492058,37.090543
deserticola,-113.327205,37.176212
deserticola,-117.5111469,35.9435646
deserticola,-116.434994,33.373975
deserticola,-110.8360735,28.4335611
deserticola,-110.9751,34.4767
deserticola,-109.6283,35.0495
deserticola,-119.7513,37.2502
deserticola,-114.117317,34.549178
deserticola,-115.2972022,35.1415072
deserticola,-99.507324,27.506296
deserticola,-103.912252,30.603553
deserticola,-115.404678,33.71312
deserticola,-103.802776,30.668185
deserticola,-106.0009,34.5003
deserticola,-112.745341,34.309083
deserticola,-115.4295677,33.293607
deserticola,-106.463006,31.3431766
deserticola,-111.946522,32.879502
deserticola,-117.93763,36.99019
deserticola,-115.716667,31.383333
deserticola,-112.533333,37.049999
deserticola,-110.778191,32.407095
deserticola,-116.1100804,39.512636
deserticola,-118.839142,43.040979
deserticola,-103.57687,30.485959
deserticola,-103.243989,30.205879
deserticola,-114.143272,33.084438
deserticola,-109.378347,30.437648
deserticola,-113.83067,39.686839
deserticola,-109.5053407,35.1130939
deserticola,-111.637174,36.526404
deserticola,-119.1626557,38.8117158
deserticola,-118.8109885,38.9071867
deserticola,-108.45936,32.623415
deserticola,-117.2212307,38.9484681
deserticola,-117.5453937,38.5576432
deserticola,-116.1811971,38.2648192
deserticola,-109.45778,34.62139
deserticola,-103.123754,29.147333
deserticola,-115.4589008,38.1224073
deserticola,-115.666667,36.583333
deserticola,-118.153987,37.300207
deserticola,-115.283333,29.983333
deserticola,-114.555817,32.839468
deserticola,-114.135276,32.456042
deserticola,-117.379108,35.757084
deserticola,-110.983333,31.85
deserticola,-114.0508,32.3117
deserticola,-109.703083,31.95734
deserticola,-110.56432,31.913882
deserticola,-114.916667,27.7
deserticola,-113.929688,36.887199
deserticola,-104.414921,32.094064
deserticola,-104.514671,32.164837
deserticola,-104.289333,32.369362
deserticola,-111.045952,31.612589
deserticola,-114.966667,29.933333
deserticola,-114.395,29.416667
deserticola,-115.266667,29.631667
deserticola,-115.266667,29.516667
deserticola,-114.166667,29.25
deserticola,-115.174242,28.118133
deserticola,-112.729622,33.968641
deserticola,-118.1493074,34.5871322
deserticola,-111.2,31.2
deserticola,-111.383331,31.133333
deserticola,-117.8423417,37.7998766
deserticola,-103.277401,29.249367
deserticola,-120.461654,40.5348213
deserticola,-112.9,27.3
deserticola,-112.2226686,27.2249531
deserticola,-113.8063229,28.2643504
deserticola,-114.032543,28.471146
deserticola,-114.833333,31.023333
deserticola,-118.215973,34.871703
deserticola,-119.649623,39.208165
deserticola,-109.099998,31.916666
deserticola,-115.224192,28.288675
deserticola,-110.25,24.15
deserticola,-117.0339441,35.0326821
deserticola,-111.34,26.008333
deserticola,-110.21722,23.450432
deserticola,-98.7,22.8
deserticola,-111.833917,24.421492
deserticola,-116.266667,32.65
deserticola,-111.398926,27.976902
deserticola,-118.1721188,35.0528826
deserticola,-116.8662302,36.4567058
deserticola,-115.311185,35.3831279
deserticola,-117.25,34.533333
deserticola,-117.02194,34.89861
deserticola,-119.626307,40.750179
deserticola,-118.4248073,34.7349123
deserticola,-109.897778,31.418333
deserticola,-117.906309,35.9366409
deserticola,-110.966667,32.516667
deserticola,-111.099998,31.833334
deserticola,-109.21895,31.934813
deserticola,-115.23083,36.018028
deserticola,-117.0301042,36.1864891
deserticola,-118.11231,36.59499
deserticola,-118.214801,36.826074
deserticola,-118.345869,37.4005315
deserticola,-118.4282487,36.777004
deserticola,-109.533333,32.05
deserticola,-109.32743,32.02233
deserticola,-118.215971,34.275307
deserticola,-108.981952,38.368945
deserticola,-117.3,34.416667
deserticola,-108.86444,39.22389
deserticola,-119.405781,43.366541
