assigned,longitude,latitude
grisea,-100.508333,25.441667
grisea,-104.952119,25.620354
grisea,-99.950342,25.867027
grisea,-101.375,24.413333
grisea,-106.3308028,29.4623599
grisea,-103.635,25.303333
grisea,-104.7,24.048889
grisea,-106.7362389,29.8240547
grisea,-106.45,29.3226
grisea,-101.581477,22.158297
grisea,-101.200366,24.733732
grisea,-105.9245651,28.4708646
grisea,-102.628721,22.813814
grisea,-102.023333,23.416667
grisea,-102.8675,23.1756
grisea,-103.955,23.45
grisea,-102.9333,23.5
grisea,-103.223736,23.573778
grisea,-99.8959585,20.521121
grisea,-102.866667,26.216667
grisea,-101.708698,21.528877
grisea,-100.4826791,25.6550447
grisea,-100.8653314,24.5000559
grisea,-102.566667,29.05
grisea,-102.741667,29.121667
grisea,-101.016667,23.516667
grisea,-99.073333,21.331667
grisea,-100.603333,22.031667
grisea,-100.97,22.113333
grisea,-98.538333,20.875
grisea,-101.1,23.1167
grisea,-99.9288888888,20.9086111111
grisea,-99.8133333333,20.6933333333
grisea,-105.47333,24.6145884526
grisea,-105.3833333,25.916666666
grisea,-103.65875,25.49536
grisea,-100.71034,22.42383
grisea,-103.69042,25.1987
grisea,-101.8512,24.08598
grisea,-104.663768,24.2070859
grisea,-106.068816,28.6285581
