assigned,longitude,latitude
opuntia,-106.479004,35.13644
opuntia,-111.168526,32.241634
opuntia,-116.0166,33.9842
opuntia,-111.4867,36.9367
opuntia,-103.25,29.25
opuntia,-103.704929,30.339843
opuntia,-102.939053,29.60368
opuntia,-104.841156,31.243334
opuntia,-96.32167,31.14528
opuntia,-103.72932,30.50723
opuntia,-104.800411,31.915926
opuntia,-103.442239,29.212977
opuntia,-104.59004,30.220419
opuntia,-103.827338,30.384924
opuntia,-106.605835,32.305706
opuntia,-104.277249,29.478396
opuntia,-103.9488112,30.7501471
opuntia,-102.94555,36.90248
opuntia,-97.06972,31.45389
opuntia,-97.742028,31.962513
opuntia,-102.566667,29.05
opuntia,-102.650278,29.690411
opuntia,-99.633333,25.3
opuntia,-103.81722,30.248466
opuntia,-104.595086,29.982753
opuntia,-103.539431,30.735166
opuntia,-104.21667,31.083685
opuntia,-104.83028,31.475183
opuntia,-104.47,32.02
opuntia,-104.55922,31.039437
opuntia,-106.333893,32.76675
opuntia,-106.2584448,33.0737659
opuntia,-109.832024,32.252873
opuntia,-106.5636063,31.9102046
opuntia,-103.1671142,29.3082557
opuntia,-103.0598561,29.8169754
opuntia,-103.5995828,30.0971841
opuntia,-105.32324,31.05787
opuntia,-105.20405,30.81835
opuntia,-103.27945,30.1742
opuntia,-103.21873,23.55877
opuntia,-102.62872,22.81381
opuntia,-107.3817443,32.4900719
