assigned,longitude,latitude
deserticola,-106.45,31.9
deserticola,-116.86,33.5
deserticola,-103.7,30.92
deserticola,-110.43,24.13
deserticola,-114.37,32.61
deserticola,-116.16,34.09
deserticola,-100.96,25.98
deserticola,-103.95,28.97
deserticola,-112.09,33.74
deserticola,-110.68,32.23
deserticola,-100.53,25.86
deserticola,-103.88,30.28
deserticola,-112.77,32.09
deserticola,-111.16,33.28
deserticola,-111.74,33.59
deserticola,-109.64,23.62
deserticola,-111.43,32.65
deserticola,-98.19,28.04
deserticola,-116.66,33.98
deserticola,-104.76,31.98
deserticola,-103.19,29.4
deserticola,-104.24,33.63
deserticola,-112.33,27.07
deserticola,-105.92,32.75
deserticola,-112.8,31.95
deserticola,-100.64,30.58
deserticola,-104.36,32.29
deserticola,-116.76,36.91
deserticola,-116.34,33.83
deserticola,-111.01,31.88
deserticola,-111.38,33.54
deserticola,-109.66,37.3
deserticola,-111.24,33.48
deserticola,-111.65,33.54
deserticola,-110.85,31.49
deserticola,-107.81,30.46
deserticola,-112.85,32.31
deserticola,-101.55,26.66
deserticola,-116.36,34.21
deserticola,-106.32,32.41
deserticola,-104.78,30.97
deserticola,-99.3,26.94
deserticola,-109.91,38.46
deserticola,-114.41,35.25
deserticola,-110.58,25.01
deserticola,-112.58,28.7
deserticola,-108.34,39.16
deserticola,-114.98,35.56
deserticola,-100.16,25.83
deserticola,-109.3,38.75
deserticola,-116.39,34.06
deserticola,-97.94,26.13
deserticola,-106.37,35.68
deserticola,-114.91,35.98
deserticola,-109.24,26.4
deserticola,-100.84,23.78
deserticola,-100.28,29.45
deserticola,-110.9,32.43
deserticola,-109.82,37.3
deserticola,-108.66,35.52
deserticola,-104.02,29.87
deserticola,-119.28,38.95
deserticola,-108.22,36.8
deserticola,-121.44,40.95
deserticola,-115.98,35.66
deserticola,-115.88,35.61
deserticola,-120.32,40.44
deserticola,-104.61,32.29
deserticola,-117.58,35.72
deserticola,-109.83,23.99
deserticola,-114.98,34.7
deserticola,-109.05,31.84
deserticola,-103.64,37.94
deserticola,-106.8,35.53
deserticola,-117.17,36.83
deserticola,-118.19,36.59
deserticola,-122.48,37.79
deserticola,-98.82,30.49
deserticola,-103.18,25.6
deserticola,-118.61,37.41
deserticola,-109.43,38.62
deserticola,-101.3,26.92
deserticola,-108.8,37.36
deserticola,-115.01,37.18
deserticola,-102.94,29.67
deserticola,-118.4,37.52
deserticola,-109.3,40.44
deserticola,-103.9,31.22
deserticola,-103.59,30.21
deserticola,-99.84,27.89
deserticola,-120.13,40.3
deserticola,-114.12,35.12
deserticola,-112.05,36.75
deserticola,-110.52,24.18
deserticola,-117.75,35.38
deserticola,-117.81,33.74
deserticola,-101.04,26.83
deserticola,-110.8,31.8
deserticola,-112.11,36.02
deserticola,-116.75,39.45
deserticola,-120.02,38.79
deserticola,-112.56,33.58
deserticola,-115.13,35.9
deserticola,-101.02,22.14
deserticola,-98.68,28.56
deserticola,-102.59,27.22
deserticola,-103.43,29.16
deserticola,-111.74,33.68
deserticola,-112.36,27.25
deserticola,-99.87,30.18
deserticola,-98.77,25.65
deserticola,-104,30.62
deserticola,-98.71,27.32
deserticola,-99.08,29.15
deserticola,-109.43,23.44
deserticola,-99.31,29.02
deserticola,-111.97,33.66
deserticola,-109.19,31.99
deserticola,-107.58,32.92
deserticola,-104.06,30.53
deserticola,-103.77,30.99
deserticola,-111.72,34.67
deserticola,-104.36,31.9
deserticola,-112.54,33.73
deserticola,-108.27,32.8
deserticola,-108.81,31.72
deserticola,-108.94,31.76
deserticola,-111.72,34.54
deserticola,-112.78,33.27
deserticola,-104.27,30.59
deserticola,-104.63,35.02
deserticola,-110.74,32.92
deserticola,-99.46,28.98
deserticola,-109.93,31.39
deserticola,-110.83,32.09
deserticola,-109.47,32.79
deserticola,-110.3,31.47
deserticola,-98.33,30.83
deserticola,-103.81,32.87
deserticola,-110.45,31.69
deserticola,-112.95,32.44
deserticola,-98.26,30.64
deserticola,-104.55,32.65
deserticola,-100.29,29.03
deserticola,-112.85,32.22
deserticola,-111.86,33.97
deserticola,-109.66,31.64
deserticola,-109.26,31.36
deserticola,-111.73,33.36
deserticola,-108.6,32.81
deserticola,-100.98,29.57
deserticola,-106.68,34.41
deserticola,-111.68,33.76
deserticola,-112.26,33.79
deserticola,-106.75,34.3
deserticola,-104.79,32.52
deserticola,-112.15,33.82
deserticola,-106.73,32.41
deserticola,-110.11,31.41
deserticola,-104.79,33.02
deserticola,-111.09,31.4
deserticola,-109.78,32.71
deserticola,-104.28,31.06
deserticola,-111.25,31.53
deserticola,-104.39,30.52
deserticola,-111.17,32.98
deserticola,-110.61,32.3
deserticola,-99.45,26.18
deserticola,-104.16,30.46
deserticola,-111.09,32.48
deserticola,-98.68,30.98
deserticola,-112.01,33.57
deserticola,-111.35,33.4
deserticola,-107.01,32.93
deserticola,-108.3,32.03
deserticola,-112.74,33.76
deserticola,-110.99,31.97
deserticola,-98.44,30.33
deserticola,-106.92,32.49
deserticola,-106.68,33.51
deserticola,-107.33,32.73
deserticola,-110,31.57
deserticola,-100.42,29.3
deserticola,-99.31,27.08
deserticola,-112.75,32.39
deserticola,-112.26,32.81
deserticola,-114.16,28.57
deserticola,-99.29,28.54
deserticola,-99.53,29.26
deserticola,-107.59,32.46
deserticola,-109.88,32.25
deserticola,-111.95,33.9
deserticola,-99.06,28.18
deserticola,-112.87,32.55
deserticola,-106.75,32.53
deserticola,-103.58,29.91
deserticola,-109.74,32.11
deserticola,-111.69,24.46
deserticola,-106.87,34.35
deserticola,-109.73,23.8
deserticola,-114.82,36.1
deserticola,-103.3,29.38
deserticola,-114.6,36.62
deserticola,-111.64,33.17
deserticola,-107.38,32.98
deserticola,-111.05,31.59
deserticola,-108.22,32.65
deserticola,-108.14,32.55
deserticola,-104.57,32.13
deserticola,-109.88,33.06
deserticola,-100.07,28.28
deserticola,-111.82,33.88
deserticola,-99.14,27.21
deserticola,-108.68,32.44
deserticola,-107.16,33.44
deserticola,-110.37,31.81
deserticola,-111,24.07
deserticola,-113.13,27.32
deserticola,-112.04,24.75
deserticola,-105.83,32.08
deserticola,-105.53,32.26
deserticola,-109.99,33.22
deserticola,-110.78,32.32
deserticola,-106.8,34.55
deserticola,-111.65,36.92
deserticola,-106.03,31.75
deserticola,-103.18,29.31
deserticola,-97.75,29.11
