assigned,longitude,latitude
bangsi,-100.6,26.54
bangsi,-99.3,26.94
bangsi,-98.73,26.35
bangsi,-98.71,27.32
bangsi,-99.45,26.18
bangsi,-99.31,27.08
bangsi,-99.14,27.21
bangsi,-98.69,27.81
bangsi,-98.46,26.4
bangsi,-98.14,26.08
bangsi,-99.22,26.86
bangsi,-99.2,26.67
bangsi,-99.13,27.38
bangsi,-99.43,27.22
bangsi,-98.82,27.41
bangsi,-98.72,27.02
bangsi,-99.86,26.86
bangsi,-98.48,27.74
bangsi,-98.89,25.53
bangsi,-99.17,26.55
bangsi,-98.43,27.84
bangsi,-99.05,26.52
bangsi,-98.16,26.29
bangsi,-99.5,26.52
bangsi,-100.5,27.02
bangsi,-97.94,26.13
bangsi,-100.26,27.3
bangsi,-98.79,26.88
bangsi,-98.69,26.46
bangsi,-98.43,26
bangsi,-100.47,26.55
bangsi,-98.7,25.95
bangsi,-98.82,26.49
bangsi,-98.77,26.24
bangsi,-98.79,25.79
bangsi,-98.77,25.65
bangsi,-98.72,26.08
bangsi,-99.37,27.31
bangsi,-98.83,26.11
bangsi,-98.47,25.9
bangsi,-98.65,26.6
bangsi,-98.27,25.59
bangsi,-97.81,27.99
bangsi,-98.37,25.71
bangsi,-98.69,25.73
bangsi,-98.04,26.39
bangsi,-98.07,26.53
bangsi,-98.45,25.61
bangsi,-98.29,27.63
bangsi,-98.45,26.72
bangsi,-98.53,26.26
bangsi,-98.13,27.96
bangsi,-98.87,27.97
bangsi,-98.91,27.18
bangsi,-98.76,27.19
bangsi,-99.67,26.81
bangsi,-97.82,25.71
bangsi,-100.38,26.5
bangsi,-98.35,26.39
bangsi,-98.53,26.54
bangsi,-98.41,26.48
bangsi,-100.38,26.39
bangsi,-98.24,27.94
bangsi,-98.14,26.2
bangsi,-98.39,25.52
bangsi,-98.55,25.71
bangsi,-100.01,26.79
bangsi,-98.45,25.79
bangsi,-98.44,26.11
bangsi,-100.56,26.44
bangsi,-97.47,25.6
bangsi,-99.08,26.42
bangsi,-100.17,26.55
bangsi,-98.65,26.26
bangsi,-100.49,26.19
bangsi,-100.53,26.63
bangsi,-97.4,26.13
bangsi,-97.42,27.75
bangsi,-97.69,26.19
bangsi,-97.51,26.13
bangsi,-97.62,26.46
bangsi,-97.51,27.54
bangsi,-98.16,26.86
bangsi,-97.45,25.99
bangsi,-97.58,26.24
bangsi,-99.09,27.53
bangsi,-98.14,27.23
bangsi,-97.5,25.88
bangsi,-99.1,26.64
bangsi,-98.78,26.72
bangsi,-98.89,26.96
bangsi,-97.72,26.69
bangsi,-97.21,26.07
bangsi,-98.33,26.16
bangsi,-98.46,26.95
bangsi,-98.23,26.4
