assigned,longitude,latitude
bilineata,-110.32,24.32
bilineata,-109.64,23.62
bilineata,-110.58,25.01
bilineata,-109.7,23.8
bilineata,-111.69,24.46
bilineata,-111,24.07
bilineata,-112.04,24.75
bilineata,-109.7,23.7
bilineata,-110.57,24.82
bilineata,-112.12,25.19
bilineata,-110.18,24.08
bilineata,-112.14,24.73
bilineata,-110.52,24.18
bilineata,-110.09,24
bilineata,-109.83,23.99
bilineata,-110.71,25.04
bilineata,-110.38,24.56
bilineata,-110.43,24.13
bilineata,-111.73,24.69
bilineata,-109.99,24.05
bilineata,-110.25,23.94
bilineata,-110.73,24.49
bilineata,-110.89,24
bilineata,-110.78,24.57
bilineata,-110.69,24.84
bilineata,-110.3,24.18
bilineata,-112.14,24.63
bilineata,-110.14,24.24
bilineata,-109.77,23.57
bilineata,-110.29,24.04
bilineata,-109.92,24.32
bilineata,-109.86,24.24
bilineata,-110.08,23.83
bilineata,-112.22,24.91
bilineata,-112.12,25.36
bilineata,-110.42,24.47
bilineata,-111.8,24.45
bilineata,-110.33,24.42
bilineata,-110.43,24.04
bilineata,-111.84,24.66
bilineata,-110.71,25.29
