assigned,longitude,latitude
grisea,-100.51,25.44
grisea,-99.95,25.87
grisea,-101.38,24.41
grisea,-106.33,29.46
grisea,-103.64,25.3
grisea,-104.7,24.07
grisea,-106.74,29.82
grisea,-106.45,29.32
grisea,-101.58,22.16
grisea,-101.2,24.73
grisea,-102.02,23.42
grisea,-102.87,23.18
grisea,-103.96,23.45
grisea,-102.93,23.5
grisea,-105.47,24.61
grisea,-103.66,25.5
grisea,-99.93,20.91
grisea,-99.81,20.69
grisea,-104.66,24.21
grisea,-100.48,25.66
grisea,-100.87,24.5
grisea,-102.57,29.05
grisea,-102.74,29.12
grisea,-101.02,23.52
grisea,-99.07,21.33
grisea,-100.6,22.03
grisea,-100.97,22.11
grisea,-105.38,25.92
grisea,-98.54,20.88
grisea,-101.1,23.12
grisea,-99.9,20.52
grisea,-105.92,28.47
grisea,-102.87,26.22
grisea,-103.22,23.56
grisea,-100.71,22.42
grisea,-102.63,22.81
grisea,-103.69,25.2
grisea,-101.85,24.09
grisea,-101.71,21.53
grisea,-106.07,28.63
grisea,-104.95,25.62
