assigned,longitude,latitude
bangsi,-111.17,26.02
bangsi,-111.05,25.68
bangsi,-110.8,25.63
bangsi,-110.58,25
bangsi,-111.25,25.78
bangsi,-110.25,23.95
bangsi,-109.8,22.96
bangsi,-116.26,31.14
bangsi,-110.25,24.15
bangsi,-109.85,23.94
bangsi,-112.59,27.41
bangsi,-112.13,24.73
bangsi,-112.12,25.73
bangsi,-110.34,24.11
bangsi,-113.15,26.88
bangsi,-112.3,27.37
bangsi,-109.43,23.45
bangsi,-110.08,23.15
bangsi,-110.22,23.45
bangsi,-111.85,24.66
bangsi,-112.89,27.3
bangsi,-109.69,23.06
bangsi,-110.59,24.88
bangsi,-112.22,24.91
bangsi,-110.38,34.11
bangsi,-111.85,24.46
bangsi,-110.33,24.42
bangsi,-112.88,28.38
bangsi,-112.12,25.36
bangsi,-113.05,28.87
bangsi,-110.42,24.47
bangsi,-109.86,24.24
bangsi,-112.25,27.22
bangsi,-110.34,24.32
bangsi,-110.43,24.04
bangsi,-112.47,27.38
