assigned,longitude,latitude
bilineata,-116.68,33.88
bilineata,-99.8,30.44
bilineata,-116.54,33.74
bilineata,-102.87,36.87
bilineata,-99.1,26.64
bilineata,-104.39,29.56
bilineata,-99.09,27.53
bilineata,-99.65,30.49
bilineata,-101.98,31.92
bilineata,-99.15,27.83
bilineata,-98.97,29
bilineata,-100.74,25.65
bilineata,-98.16,26.86
bilineata,-101.23,25.45
bilineata,-102.56,30.14
bilineata,-100.18,23.89
bilineata,-99.2,25.8
bilineata,-100.9,29.37
bilineata,-103.67,30.37
bilineata,-121.9,36.6
bilineata,-104.67,30.82
bilineata,-99.32,28.5
bilineata,-97.45,25.99
bilineata,-104.79,31.9
bilineata,-99.67,30.35
bilineata,-97.5,25.9
bilineata,-103.25,30.2
bilineata,-98.08,29.07
bilineata,-98.45,28.93
bilineata,-98.62,29.09
bilineata,-97.48,26.19
bilineata,-98.71,29.16
bilineata,-102.41,30.15
bilineata,-97.22,26.08
bilineata,-97.62,26.46
bilineata,-98.8,29.23
bilineata,-99.07,28.44
bilineata,-99.75,23.57
bilineata,-98.49,29.48
bilineata,-98.75,29.35
bilineata,-101.64,30.69
bilineata,-98.22,26.42
bilineata,-97.34,26.07
bilineata,-98.83,28.86
bilineata,-98.49,29.36
bilineata,-97.51,27.54
bilineata,-97.7,26.19
bilineata,-99.83,28.68
bilineata,-112.13,24.65
bilineata,-115.25,28.2
bilineata,-110.25,24.15
bilineata,-110.58,25
bilineata,-111.8,24.45
bilineata,-110.8,25.63
bilineata,-111.12,26
bilineata,-112.55,28.69
bilineata,-112.93,28.42
bilineata,-110.71,25.29
bilineata,-110.33,24.42
bilineata,-111.93,26.72
bilineata,-100.11,25.5
bilineata,-101.12,27.86
bilineata,-98.75,24
bilineata,-98.15,24.85
bilineata,-99.25,31.25
bilineata,-97.76,30.31
bilineata,-97.43,27.78
bilineata,-99.01,24.41
bilineata,-100.69,31.4
bilineata,-98.32,29.82
bilineata,-108.32,31.92
bilineata,-98.2,23.77
bilineata,-100.42,25.37
bilineata,-98.07,28.42
bilineata,-98.46,29.23
bilineata,-98.82,26.38
bilineata,-98.33,26.16
bilineata,-100.08,31.17
bilineata,-99.53,27.52
bilineata,-108.28,32.77
bilineata,-100.72,25.07
bilineata,-97.51,28.14
