assigned,longitude,latitude
opuntia,-111.17,32.24
opuntia,-116.02,33.98
opuntia,-111.49,36.94
opuntia,-103.7,30.34
opuntia,-104.8,31.92
opuntia,-104.59,30.22
opuntia,-103.83,30.38
opuntia,-106.61,32.31
opuntia,-102.97,36.97
opuntia,-102.57,29.05
opuntia,-105.32,31.06
opuntia,-103.2,29.37
opuntia,-103.3,29.27
opuntia,-103.82,30.25
opuntia,-109.83,32.25
opuntia,-106.48,35.14
opuntia,-103.95,30.75
opuntia,-103.44,29.21
opuntia,-106.56,31.91
opuntia,-103.06,29.82
opuntia,-103.6,30.1
opuntia,-106.33,32.77
opuntia,-105.2,30.82
opuntia,-103.28,30.17
opuntia,-104.84,31.24
opuntia,-103.7,30.51
opuntia,-102.63,22.81
opuntia,-104.47,32.02
opuntia,-107.38,32.49
opuntia,-104.83,31.48
opuntia,-99.63,25.3
opuntia,-102.65,29.69
opuntia,-102.92,29.53
opuntia,-104.28,29.48
opuntia,-96.32,31.15
opuntia,-103.22,23.57
opuntia,-106.26,33.07
opuntia,-104.56,31.04
opuntia,-104.22,31.16
opuntia,-104.6,29.98
opuntia,-103.54,30.74
opuntia,-97.07,31.45
opuntia,-97.74,31.96
