"name"	"longitude"	"latitude"	"subspecies"	"bangsi"	"numSubsppGroups"	"assigned"
"Amphispiza bilineata (Cassin, 1850)"	-106.448959	31.903965	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.238723	23.438147	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-101.635745	24.547364	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.677954	32.215545	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.67134	32.218196	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.659087	32.223751	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-106.489417	31.842937	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.48325	33.978683	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.859458	33.645438	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.418862	33.270863	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.862595	33.499164	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-106.107931	32.410378	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.434098	33.239116	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.410861	33.251796	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.427388	33.276932	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.391853	33.3611	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.365863	33.252783	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.366235	33.254346	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-103.700749	30.920577	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.428855	24.133107	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-104.439195	32.176972	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.160758	32.25362	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.840018	33.761776	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.415823	33.268007	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.810711	32.322032	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.099149	32.447503	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.172697	31.635381	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.696031	32.219363	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.658138	32.25577	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.658456	32.255555	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-114.371475	32.610434	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.795893	33.769988	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.100223	32.189293	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.997903	33.36311	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.412381	34.107015	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.952944	32.380215	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.951628	32.377471	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.128662	32.328321	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-98.819874	30.500334	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.598991	33.465055	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.158985	34.091502	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.687987	32.22983	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.658395	32.225473	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-103.21156	29.329423	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.327284	24.297876	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.66732	33.513997	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.441887	33.599762	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.389498	33.188604	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-99.14445	26.584647	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-100.959022	25.977112	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-105.989902	28.280837	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.332362	31.921297	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-107.61223	32.185975	"unknown"	0	0	"none"
