"name"	"longitude"	"latitude"	"subspecies"	"acaciarum"	"numSubsppGroups"	"assigned"
"Auriparus flaviceps (Sundevall, 1850)"	-97.88	28.06	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-114.45	32.68	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-110.73	32.28	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-111.99	33.36	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-110.35	24.11	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-111.6	33.31	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-99.12	28.36	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-97.82	27.98	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-97.83	27.96	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-114.95	36.09	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-105.43	28.29	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-110.82	32.31	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-103.71	25.47	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-115.36	36.44	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-110.24	23.44	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-104.32	32.32	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-105.5	28.26	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-100.54	33.08	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-111.94	33.45	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-115.62	33.18	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-106.56	31.82	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-114.78	32.53	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-114.72	32.59	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-116.26	33.67	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-116.39	33.29	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-111.81	33.6	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-111.88	33.73	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-100.47	26.56	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-111.65	33.55	"unknown"	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-110.68	32.23	"unknown"	0	0	"none"
