"name"	"longitude"	"latitude"	"subspecies"	"acaciarum"	"flaviceps"	"numSubsppGroups"	"assigned"
"Auriparus flaviceps (Sundevall, 1850)"	-105.43	28.29	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-103.71	25.47	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-104.32	32.32	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-105.5	28.26	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-104.63	24.05	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-105.48	28.26	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-105.47	28.26	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-105.44	28.29	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-105.49	28.26	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-105.42	28.32	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-105.43	28.31	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-105.43	28.32	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-111.34	26.01	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-112.08	26.19	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-111.03	25.32	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-105.49	28.27	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-109.16	26.58	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-104.67	24.01	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-111.36	26.02	"unknown"	0	0	0	"none"
"Auriparus flaviceps (Sundevall, 1850)"	-105.2	27.05	"unknown"	0	0	0	"none"
