assigned,longitude,latitude
acaciarum,-109.273,31.34
acaciarum,-111.897282,34.829735
acaciarum,-114.9188,29.6683
acaciarum,-115.1111,32.2003
acaciarum,-113.392114,37.201143
acaciarum,-110.814428,32.171553
acaciarum,-111.013672,32.180419
acaciarum,-110.8805,31.7244
acaciarum,-110.9617,31.8555
acaciarum,-117.371833,36.96528
acaciarum,-115.38978,35.01452
acaciarum,-114.7237,35.2481
acaciarum,-116.4271,33.6181
acaciarum,-116.53685,33.73533
acaciarum,-115.612638,33.205648
acaciarum,-115.0101,36.0753
acaciarum,-114.838,30.821
acaciarum,-114.71,30.888
acaciarum,-115.793,32.156
acaciarum,-114.837823,32.816697
acaciarum,-115.493259,33.169169
acaciarum,-115.774444,32.618889
acaciarum,-115.831393,33.32555
acaciarum,-115.445281,32.906799
acaciarum,-115.33137,33.337532
acaciarum,-115.413867,33.477517
acaciarum,-112.232551,33.388835
acaciarum,-114.052986,35.1894
acaciarum,-115.799898,32.9114
acaciarum,-116.475711,33.96184
acaciarum,-110.560876,32.099991
acaciarum,-116.183596,32.64382
acaciarum,-113.755202,32.726714
acaciarum,-116.091192,33.473372
acaciarum,-118.266667,29
acaciarum,-113.5547353,34.5978827
acaciarum,-116.260278,33.228889
acaciarum,-116.372797,33.241689
acaciarum,-116.3819129,35.0476972
acaciarum,-112.792222,31.621667
acaciarum,-116.1494822,34.1083091
acaciarum,-115.6901218,33.935519
acaciarum,-115.8709342,33.9525253
acaciarum,-115.8096327,33.7365478
acaciarum,-116.387574,33.138633
acaciarum,-114.616102,35.050936
acaciarum,-116.55,34.1
acaciarum,-116.0941759,33.8957694
acaciarum,-112.916667,34.416667
acaciarum,-116.340944,33.70321
acaciarum,-113.216667,34.3
acaciarum,-116.03,33.15
acaciarum,-115.526863,33.046401
acaciarum,-116.17944,33.56889
acaciarum,-116.66667,33.75028
acaciarum,-115.6845419,34.9868006
acaciarum,-114.73333,33.150002
acaciarum,-116.366591,33.339213
acaciarum,-112.951271,32.170061
acaciarum,-112.70769,32.05683
acaciarum,-114.583336,34.150002
acaciarum,-113.6005,33.777759
acaciarum,-114.117317,34.549178
acaciarum,-114.142178,34.289346
acaciarum,-112.71683,32.802714
acaciarum,-110.8737509,32.2600652
acaciarum,-111.4951689,32.6436501
acaciarum,-111.5690734,32.9778399
acaciarum,-116.05597,33.753056
acaciarum,-116.017376,32.887249
acaciarum,-115.8,33.1
acaciarum,-112.933333,32.05
acaciarum,-114.35,36.45
acaciarum,-116.133,33.65
acaciarum,-116.61222,34.93694
acaciarum,-115.983333,37
acaciarum,-114.2,36.45
acaciarum,-114.736667,29.888333
acaciarum,-114.733333,29.75
acaciarum,-114.967351,29.93347
acaciarum,-114.833333,32
acaciarum,-116.133333,31.578333
acaciarum,-115.25,32.416667
acaciarum,-115.14084,32.4169
acaciarum,-115.243037,30.1942733
acaciarum,-115.816667,32.25
acaciarum,-115.577064,31.952861
acaciarum,-116.667,33
acaciarum,-115.284722,32.134722
acaciarum,-115.3305568,32.3300364
acaciarum,-115.466667,31.05
acaciarum,-115.716667,31.383333
acaciarum,-114.4018764,34.4652828
acaciarum,-115.624025,30.075131
acaciarum,-116.605,32.133333
acaciarum,-115.318337,33.026645
acaciarum,-115.483333,32.65
acaciarum,-114.616669,32.716667
acaciarum,-116.233333,33.733333
acaciarum,-116.5444,33.8303
acaciarum,-114.73218,33.43281
acaciarum,-111.1340686,33.6675228
acaciarum,-116.683333,34.833333
acaciarum,-114.5516268,34.7660079
acaciarum,-114.4374572,34.676075
acaciarum,-114.5260495,33.6216033
acaciarum,-114.4734276,33.9903153
acaciarum,-114.4582413,32.8861251
acaciarum,-97.835,22.251667
acaciarum,-115.066889,32.978496
acaciarum,-115.5,32.383333
acaciarum,-109.783333,23.45
acaciarum,-97.4975,25.9018
acaciarum,-116.53713,33.12893
acaciarum,-122.05,37.9
acaciarum,-99.5072,27.5061
acaciarum,-121.90885,37.48938
acaciarum,-116.792522,33.495865
acaciarum,-117.771657,33.512543
acaciarum,-112.5,30.566667
acaciarum,-115.9667511,34.8426493
acaciarum,-114.6567764,33.5738182
acaciarum,-114.6810639,33.2333637
acaciarum,-111.9086,33.4147
acaciarum,-116.257,34.03749
acaciarum,-114.61333,34.84806
acaciarum,-114.7037861,33.3299009
acaciarum,-114.5,33.01
acaciarum,-117.02194,34.89861
acaciarum,-117.29028,34.53611
acaciarum,-115.208333,30.866667
acaciarum,-114.67067,35.46528
acaciarum,-113.7953,32.2264
acaciarum,-115.4207,35.1716
acaciarum,-116.36,32.97
acaciarum,-116.0635678,33.5744215
acaciarum,-116.841237,33.0199275
acaciarum,-115.7421233,33.66083
acaciarum,-117.5726115,33.8551815
acaciarum,-109.690871,32.6071375
acaciarum,-117.1785935,34.5376885
acaciarum,-112.074,33.44834
acaciarum,-115.13722,36.17497
acaciarum,-111.660693,33.5469892
acaciarum,-114.6766663,34.4516523
acaciarum,-116.4355793,33.5264423
acaciarum,-116.877552,36.463047
