assigned,longitude,latitude
flaviceps,-112.8995,27.1466
flaviceps,-109.8984,27.7834
flaviceps,-110.339446,24.317892
flaviceps,-110.8,25.633333
flaviceps,-110.026389,23.306111
flaviceps,-112.383333,29
flaviceps,-111.920593,25.505334
flaviceps,-112.5,29
flaviceps,-111.09623,33.38202
flaviceps,-111.805,24.461667
flaviceps,-112.225,29.21
flaviceps,-111.983333,27.433333
flaviceps,-112.730995,34.040363
flaviceps,-112.248889,29.008333
flaviceps,-112.1480168,28.9901871
flaviceps,-109.378347,30.437648
flaviceps,-112.084021,31.988275
flaviceps,-111.75,26.55
flaviceps,-114.88,31.076667
flaviceps,-109.248333,27.225
flaviceps,-116.933333,32.233333
flaviceps,-111.508747,24.5420096
flaviceps,-112.221667,24.908889
flaviceps,-112.053889,25.487222
flaviceps,-110.333333,24.416667
flaviceps,-110.600564,24.833698
flaviceps,-112.6,28.7
flaviceps,-112.883959,28.38354
flaviceps,-112.999587,26.838863
flaviceps,-111.2,25.95
flaviceps,-114.966667,29.933333
flaviceps,-114.16566,29.24684
flaviceps,-114.737346,29.888473
flaviceps,-114.395666,29.416832
flaviceps,-112.510615,27.405251
flaviceps,-112.699608,27.281662
flaviceps,-113.145625,26.88194
flaviceps,-112.849998,27.450001
flaviceps,-113.433333,28.113333
flaviceps,-99.13,23.753333
flaviceps,-112.530253,27.311686
flaviceps,-112.241274,34.530025
flaviceps,-113.800646,28.250211
flaviceps,-111.970152,34.59054
flaviceps,-116.605,32.133333
flaviceps,-110.036667,28.901667
flaviceps,-105.33751,35.65976
flaviceps,-115.56902,30.05346
flaviceps,-110.61726,29.91683
flaviceps,-105.383333,25.916667
flaviceps,-109.69887,23.18212
flaviceps,-97.480316,25.934273
flaviceps,-111.387343,33.031451
flaviceps,-99.2506,31.2504
flaviceps,-109.18556,30.37848
flaviceps,-122.50498,38.3513
flaviceps,-106.0009,34.5003
flaviceps,-111.31,25.81
flaviceps,-103.7039221823,25.7041410813
flaviceps,-102.9406389559,29.1859736984
flaviceps,-110.8121612477,32.6063563818
flaviceps,-106.3753501,28.3411339
flaviceps,-103.8965892839,29.1035504002
flaviceps,-110.8063416667,29.5913083333
flaviceps,-97.8839311464,26.1403805798
flaviceps,-110.7318433333,29.4954333333
flaviceps,-110.1056309638,24.0045686033
flaviceps,-112.03110201,33.07225902
