assigned,longitude,latitude
lamprocephalus,-110.5934,25.0244
lamprocephalus,-110.1592,23.3481
lamprocephalus,-110.0967,23.5451
lamprocephalus,-111.9187,25.9742
lamprocephalus,-114.717,29.727
lamprocephalus,-110.197221,23.71542
lamprocephalus,-109.77054,23.257113
lamprocephalus,-109.69,23.055
lamprocephalus,-111.928333,26.72
lamprocephalus,-113.466667,29.316667
lamprocephalus,-109.766667,23.4
lamprocephalus,-112.33,28.763333
lamprocephalus,-111.82417,26.05876
lamprocephalus,-101.28921,27.96266
lamprocephalus,-117.058333,32.341667
lamprocephalus,-113.05,27.6
lamprocephalus,-116.795,32.363333
lamprocephalus,-109.436389,23.376667
lamprocephalus,-109.9166666,22.883333333
lamprocephalus,-110.305,24.266666666
lamprocephalus,-110.333886,24.4170579
lamprocephalus,-109.873876,24.2353977
lamprocephalus,-111.8533333,24.661666666
lamprocephalus,-111.1366666,25.456666666
lamprocephalus,-111.34,26.008333333
lamprocephalus,-116.0763888889,33.5716666667
