assigned,longitude,latitude
ornatus,-109.3988,31.4775
ornatus,-108.7086,32.3465
ornatus,-111.157326,33.279537
ornatus,-111.6726,33.5217
ornatus,-110.857,31.4949
ornatus,-103.298722,21.835556
ornatus,-98.681667,22.638333
ornatus,-99.804667,20.917639
ornatus,-99.608333,20.606667
ornatus,-99.032135,28.125283
ornatus,-104.54,24.83
ornatus,-99.921667,21.796667
ornatus,-103.728333,27.953333
ornatus,-99.916667,20.7
ornatus,-111.909309,33.284179
ornatus,-103.167114,29.308256
ornatus,-102.935303,29.210717
ornatus,-116.45,32.431179
ornatus,-111.528148,31.820686
ornatus,-106.563606,31.910205
ornatus,-103.647091,25.478693
ornatus,-105.695464,25.307035
ornatus,-104.59004,30.220419
ornatus,-98.14,29.57111
ornatus,-104.277249,29.478396
ornatus,-104.505201,29.560493
ornatus,-104.338287,29.560556
ornatus,-106.3308028,29.4623599
ornatus,-97.5090978,28.1451804
ornatus,-97.289,26.14
ornatus,-110.585564,32.876046
ornatus,-111.101142,32.291434
ornatus,-99.322785,31.735918
ornatus,-109.0242,31.375184
ornatus,-104.7,24.048889
ornatus,-106.7362389,29.8240547
ornatus,-109.090404,31.913703
ornatus,-113.046306,32.768784
ornatus,-102.15,22.223333
ornatus,-110.6667,32.2167
ornatus,-106.0892015,28.7082434
ornatus,-109.2789,31.3364
ornatus,-102.93861,29.57444
ornatus,-103.345672,29.293995
ornatus,-98.970003,27.520752
ornatus,-100.448133,31.431242
ornatus,-100.528735,31.507328
ornatus,-111.481369,32.854117
ornatus,-110.721256,32.047289
ornatus,-102.566667,29.05
ornatus,-110.72214,32.29629
ornatus,-98.672,29.03
ornatus,-97.5655678,30.1101929
ornatus,-99.928333,20.908333
ornatus,-108.066667,30.6
ornatus,-98.26667,29.466667
ornatus,-112.066667,30.65
ornatus,-110.966667,29.066667
ornatus,-113.5,33.666667
ornatus,-111.183333,31.433333
ornatus,-111.964114,33.521551
ornatus,-111.85,33.116667
ornatus,-98.147039,27.220036
