"name"	"longitude"	"latitude"	"subspecies"	"acaciarum"	"flaviceps"	"hidalgensis"	"lamprocephalus"	"ornatus"	"numSubsppGroups"	"assigned"
"Auriparus flaviceps (Sundevall, 1850)"	-115.62	33.18	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.26	33.67	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.39	33.29	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.46	33.78	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.26	33.92	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.48	33.82	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.2	33.73	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.5	33.81	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-117.16	34.09	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-118.04	33.71	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.41	33.67	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.55	33.81	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.41	33.78	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.52	33.81	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-115.91	33.5	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.53	33.86	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.55	33.82	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.31	33.21	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.36	33.24	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.41	33.26	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.41	32.98	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.55	33.76	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.56	33.76	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.53	33.81	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.27	33.71	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-115.92	33.5	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-115.98	33.96	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.4	33.71	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.39	33.73	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.29	33.77	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.35	33.77	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.43	33.28	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.14	34.03	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.28	33.64	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.43	33.27	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.14	34.13	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.33	33.21	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.11	34.11	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-115.79	33.89	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.15	33.54	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.43	33.24	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.37	33.23	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.31	33.66	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.38	33.74	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.36	33.63	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.35	33.24	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.37	33.7	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.47	33.77	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.27	33.67	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.41	33.28	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.04	34.13	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.55	33.8	"unknown"	1	0	0	0	0	1	"acaciarum"
