assigned,longitude,latitude
acaciarum,-109.273,31.34
acaciarum,-114.9188,29.6683
acaciarum,-115.1111,32.2003
acaciarum,-113.392114,37.201143
acaciarum,-110.814428,32.171553
acaciarum,-111.013672,32.180419
acaciarum,-110.8805,31.7244
acaciarum,-110.9617,31.8555
acaciarum,-117.371833,36.96528
acaciarum,-114.7237,35.2481
acaciarum,-116.4271,33.6181
acaciarum,-115.0101,36.0753
acaciarum,-115.6156,33.177
acaciarum,-114.71,30.888
acaciarum,-115.793,32.156
acaciarum,-115.6976,32.820264
acaciarum,-114.837823,32.816697
acaciarum,-115.493259,33.169169
acaciarum,-114.818889,30.889722
acaciarum,-115.774444,32.618889
acaciarum,-114.676666,34.451652
acaciarum,-112.232551,33.388835
acaciarum,-114.052986,35.1894
acaciarum,-115.742123,33.66083
acaciarum,-116.230361,33.725658
acaciarum,-116.459061,33.966307
acaciarum,-110.560876,32.099991
acaciarum,-116.183596,32.64382
acaciarum,-117.09056,34.57028
acaciarum,-114.895637,33.216944
acaciarum,-116.091192,33.473372
acaciarum,-112.1754,33.2934
acaciarum,-113.5547353,34.5978827
acaciarum,-116.260278,33.228889
acaciarum,-116.372797,33.241689
acaciarum,-116.4361723,33.5264357
acaciarum,-116.521091,33.704142
acaciarum,-116.1494822,34.1083091
acaciarum,-115.8602983,33.9844265
acaciarum,-116.387574,33.138633
acaciarum,-114.14222,34.28722
acaciarum,-116.55,34.1
acaciarum,-112.916667,34.416667
acaciarum,-116.340944,33.70321
acaciarum,-116.03,33.15
acaciarum,-116.17944,33.56889
acaciarum,-116.66667,33.75028
acaciarum,-115.6845419,34.9868006
acaciarum,-114.650002,33.533333
acaciarum,-112.70769,32.05683
acaciarum,-114.583336,34.150002
acaciarum,-113.6005,33.777759
acaciarum,-115.7680973,35.5271441
acaciarum,-114.117317,34.549178
acaciarum,-115.4241932,34.9346817
acaciarum,-114.616669,32.650002
acaciarum,-111.5690734,32.9778399
acaciarum,-113.7958201,32.2264491
acaciarum,-116.408939,33.032694
acaciarum,-116.017376,32.887249
acaciarum,-116.8781856,36.4629606
acaciarum,-115.83,33.33
acaciarum,-115.8,33.1
acaciarum,-118.5047,34.6728
acaciarum,-112.933333,32.05
acaciarum,-114.35,36.45
acaciarum,-114.6347353,35.0269045
acaciarum,-114.880687,31.076769
acaciarum,-116.133,33.65
acaciarum,-116.61222,34.93694
acaciarum,-115.983333,37
acaciarum,-114.2,36.45
acaciarum,-114.736667,29.888333
acaciarum,-114.733333,29.75
acaciarum,-114.967351,29.93347
acaciarum,-114.395666,29.416832
acaciarum,-114.833333,32
acaciarum,-116.05,33.383333
acaciarum,-116.133333,31.578333
acaciarum,-115.148611,32.6275
acaciarum,-115.25,32.416667
acaciarum,-115.14084,32.4169
acaciarum,-114.8,32.55
acaciarum,-115.816667,32.25
acaciarum,-115.8014011,32.3683653
acaciarum,-115.577064,31.952861
acaciarum,-115.266667,32.15
acaciarum,-116.667,33
acaciarum,-115.3305568,32.3300364
acaciarum,-115.466667,31.05
acaciarum,-116.5445987,33.8299843
acaciarum,-116.605731,32.133383
acaciarum,-114.5351424,32.806027
acaciarum,-115.483333,32.65
acaciarum,-115.137223,36.174971
acaciarum,-111.9090852,33.4147253
acaciarum,-111.1340686,33.6675228
acaciarum,-116.683333,34.833333
acaciarum,-114.7518529,33.4115079
acaciarum,-114.7043371,33.3299116
acaciarum,-114.6816137,33.2333775
acaciarum,-114.5005434,33.0100212
acaciarum,-114.4582413,32.8861251
acaciarum,-116.0641531,33.5744167
acaciarum,-115.5,32.383333
acaciarum,-116.119137,33.005496
acaciarum,-117.0225604,34.8985618
acaciarum,-112.074005,33.448341
acaciarum,-97.4975,25.9018
acaciarum,-116.53713,33.12893
acaciarum,-118.31667,34.48333
acaciarum,-122.05,37.9
acaciarum,-99.5072,27.5061
acaciarum,-121.90885,37.48938
acaciarum,-117.771657,33.512543
acaciarum,-112.5,30.566667
acaciarum,-111.8972824886,34.8297347012
acaciarum,-116.79252,33.49586
acaciarum,-115.06688,32.97849
acaciarum,-115.9667511,34.8426493
acaciarum,-116.257,34.03749
acaciarum,-115.8090522,33.7365557
acaciarum,-114.64222,34.925
acaciarum,-114.5510659,34.7660355
acaciarum,-114.5255,33.6216
acaciarum,-114.4728756,33.9903218
acaciarum,-114.4013222,34.4653024
acaciarum,-117.29028,34.53611
acaciarum,-115.266667,30.866667
acaciarum,-114.67067,35.46528
acaciarum,-115.4207,35.1716
acaciarum,-116.0559705,33.7530555
acaciarum,-115.3183375,33.026645
acaciarum,-117.5726115,33.8551815
acaciarum,-109.690871,32.6071375
acaciarum,-116.36659,33.33921
acaciarum,-111.660693,33.5469892
acaciarum,-115.4138667,33.4775167
acaciarum,-115.6895421,33.9355317
acaciarum,-116.3813057,35.0477446
acaciarum,-114.4369,34.6761
acaciarum,-110.8733,32.26
acaciarum,-111.4947,32.6436
acaciarum,-116.0935866,33.895784
acaciarum,-116.8375776,33.0178638
acaciarum,-115.5025,33.0605555556
acaciarum,-115.2425,30.194167
acaciarum,-115.3779559,33.348476
acaciarum,-119.25901,37.2769898
acaciarum,-112.7168305,32.8027135
acaciarum,-115.717377,31.3834136
acaciarum,-114.7249565,32.7208805
acaciarum,-111.1498394,33.109506
acaciarum,-113.7819196,32.6975472
acaciarum,-115.157155,33.0693676
acaciarum,-115.6241414,32.8937264
acaciarum,-115.4730478,32.9304286
acaciarum,-115.624025,30.0751313
acaciarum,-113.2166667,34
acaciarum,-118.2666667,29
acaciarum,-112.7922222,31.6216667
acaciarum,-115.36736,30.0501335
acaciarum,-114.1432724,33.0844383
acaciarum,-115.550703,31.3334162
acaciarum,-111.9465222,32.8795022
acaciarum,-112.9512707,32.1700607
acaciarum,-115.6403732,33.4665328
acaciarum,-115.7998979,32.9114004
acaciarum,-113.2166667,34.3
acaciarum,-114.3666667,32.75
acaciarum,-114.3166667,33.0833333
acaciarum,-114.7333297729,33.1500015259
acaciarum,-110.6666641235,32.5
acaciarum,-97.835,22.2516667
acaciarum,-117.25,32.4333333
acaciarum,-109.7833333,23.45
acaciarum,-116.7538889,35.0702778
acaciarum,-111.501,34.5003
acaciarum,-99.2506,31.2504
