assigned,longitude,latitude
flaviceps,-112.8995,27.1466
flaviceps,-109.8984,27.7834
flaviceps,-109.865556,23.558611
flaviceps,-110.196667,23.715
flaviceps,-111.308333,25.810556
flaviceps,-113.417315,29.250174
flaviceps,-109.916667,22.883333
flaviceps,-111.136667,25.456667
flaviceps,-110.026389,23.306111
flaviceps,-113.500637,27.683565
flaviceps,-112.383333,29
flaviceps,-112.5,29
flaviceps,-115.914035,30.558442
flaviceps,-111.09623,33.38202
flaviceps,-112.225,29.21
flaviceps,-111.983935,27.433582
flaviceps,-112.730995,34.040363
flaviceps,-112.248889,29.008333
flaviceps,-109.378347,30.437648
flaviceps,-112.084021,31.988275
flaviceps,-112.866667,28.666667
flaviceps,-112.633333,28.666667
flaviceps,-111.75,26.55
flaviceps,-109.248333,27.225
flaviceps,-115.283333,29.983333
flaviceps,-116.933333,32.233333
flaviceps,-112.053889,25.487222
flaviceps,-110.333333,24.416667
flaviceps,-110.416667,24.466667
flaviceps,-112.883959,28.38354
flaviceps,-112.633333,27.666667
flaviceps,-112.999587,26.838863
flaviceps,-111.2,25.95
flaviceps,-114.165,29.246667
flaviceps,-114.966667,29.933333
flaviceps,-114.250658,28.71686
flaviceps,-114.737346,29.888473
flaviceps,-114.734005,29.750148
flaviceps,-112.510615,27.405251
flaviceps,-112.699608,27.281662
flaviceps,-113.145625,26.88194
flaviceps,-105.166667,27.683333
flaviceps,-112.595421,27.311117
flaviceps,-113.433333,28.113333
flaviceps,-112.180607,27.168592
flaviceps,-112.893953,27.298583
flaviceps,-113.800646,28.250211
flaviceps,-111.970152,34.59054
flaviceps,-116.605,32.133333
flaviceps,-110.036667,28.901667
flaviceps,-111.800586,24.454551
flaviceps,-112.117267,25.362009
flaviceps,-105.33751,35.65976
flaviceps,-115.56902,30.05346
flaviceps,-110.61667,29.91667
flaviceps,-98.493332,29.423889
flaviceps,-116.795,32.363333
flaviceps,-112.71683,32.947824
flaviceps,-111.387343,33.031451
flaviceps,-99.2506,31.2504
flaviceps,-122.50498,38.3513
flaviceps,-109.30056,29.85017
flaviceps,-106.0009,34.5003
flaviceps,-98.292239677,29.4113568692
flaviceps,-99.8132006733,20.9175406176
flaviceps,-112.6945583333,33.9324216667
flaviceps,-110.8091390141,32.6073931402
flaviceps,-106.3753501,28.3411339
flaviceps,-110.8063416667,29.5913083333
