assigned,longitude,latitude
lamprocephalus,-110.1592,23.3481
lamprocephalus,-110.0967,23.5451
lamprocephalus,-111.9187,25.9742
lamprocephalus,-114.717,29.727
lamprocephalus,-109.873876,24.235398
lamprocephalus,-109.77054,23.257113
lamprocephalus,-109.928333,22.886667
lamprocephalus,-110.333886,24.417058
lamprocephalus,-109.69,23.055
lamprocephalus,-111.853333,24.661667
lamprocephalus,-111.136667,25.456667
lamprocephalus,-111.82417,26.05876
lamprocephalus,-101.28921,27.96266
lamprocephalus,-110.583333,25
lamprocephalus,-117.058333,32.341667
lamprocephalus,-113.05,27.6
lamprocephalus,-116.795,32.363333
lamprocephalus,-109.436389,23.376667
lamprocephalus,-110.305,24.266666666
lamprocephalus,-111.9283333,26.72
lamprocephalus,-109.7666666,23.4
lamprocephalus,-110.197221,23.7154202
lamprocephalus,-113.4666666,29.316666666
lamprocephalus,-112.33,28.763333333
lamprocephalus,-111.34,26.008333333
lamprocephalus,-116.0763888889,33.5716666667
