assigned,longitude,latitude
ornatus,-109.273,31.34
ornatus,-109.3988,31.4775
ornatus,-111.157326,33.279537
ornatus,-111.6726,33.5217
ornatus,-110.857,31.4949
ornatus,-103.298722,21.835556
ornatus,-98.681667,22.638333
ornatus,-99.787117,20.861033
ornatus,-99.608333,20.606667
ornatus,-99.032135,28.125283
ornatus,-104.54,24.83
ornatus,-99.921667,21.796667
ornatus,-103.728333,27.953333
ornatus,-110.9937,31.82786
ornatus,-99.916667,20.7
ornatus,-111.909309,33.284179
ornatus,-111.581046,31.749887
ornatus,-102.935303,29.210717
ornatus,-116.45,32.431179
ornatus,-106.563606,31.910205
ornatus,-105.610468,26.823631
ornatus,-104.37561,23.547622
ornatus,-101.000278,25.666944
ornatus,-105.695464,25.307035
ornatus,-112.257656,34.258124
ornatus,-104.59004,30.220419
ornatus,-98.14,29.57111
ornatus,-104.277249,29.478396
ornatus,-104.505201,29.560493
ornatus,-104.338287,29.560556
ornatus,-101.388699,24.377087
ornatus,-106.3308028,29.4623599
ornatus,-97.289,26.14
ornatus,-110.585564,32.876046
ornatus,-111.101142,32.291434
ornatus,-99.322785,31.735918
ornatus,-111.899033,33.50921
ornatus,-104.7,24.048889
ornatus,-106.7362389,29.8240547
ornatus,-113.046306,32.768784
ornatus,-108.708657,32.34942
ornatus,-102.144722,22.225556
ornatus,-110.6667,32.2167
ornatus,-106.0892015,28.7082434
ornatus,-102.93861,29.516365
ornatus,-103.345672,29.293995
ornatus,-98.970003,27.520752
ornatus,-100.448133,31.431242
ornatus,-100.528735,31.507328
ornatus,-111.481369,32.854117
ornatus,-110.721256,32.047289
ornatus,-102.566667,29.05
ornatus,-110.72214,32.29629
ornatus,-98.672,29.03
ornatus,-97.5655678,30.1101929
ornatus,-102.855397,23.34546
ornatus,-108.066667,30.6
ornatus,-111.850622,30.833453
ornatus,-98.691287,26.380261
ornatus,-99.491282,27.433613
ornatus,-110.85,30.883333
ornatus,-110.966667,29.066667
ornatus,-112.716667,29.916667
ornatus,-98.249294,29.479144
ornatus,-110.986024,32.209744
ornatus,-113.5,33.666667
ornatus,-112.65,32.966667
ornatus,-111.85,33.116667
ornatus,-98.147039,27.220036
ornatus,-100.516934,28.857365
ornatus,-102.561484,30.142113
ornatus,-104.624088,31.417498
ornatus,-112.951271,32.170061
ornatus,-106.497358,31.811062
ornatus,-112.794901,33.87892
ornatus,-97.806522,26.349618
ornatus,-111.36646,33.045721
ornatus,-99.678333,25.6
ornatus,-99.8244963,25.4709934
ornatus,-112.186852,33.276769
ornatus,-100.178333,26.503333
ornatus,-104.638612,30.875355
ornatus,-112.7692,33.229062
ornatus,-112.726208,33.969393
ornatus,-99.32056,28.504288
ornatus,-98.826031,28.076684
ornatus,-98.047565,26.659916
ornatus,-110.831699,32.353191
ornatus,-110.400656,33.511998
ornatus,-98.066666,27.75
ornatus,-109.378347,30.437648
ornatus,-111.674583,33.636711
ornatus,-110.770958,32.610874
ornatus,-103.243989,30.205879
ornatus,-98.711153,29.11452
ornatus,-98.878632,30.267483
ornatus,-113.06655,32.197051
ornatus,-98.797397,29.233809
ornatus,-106.2236902,32.970362
ornatus,-106.2584448,33.0737659
ornatus,-110.332395,31.905361
ornatus,-98.65723,29.23099
ornatus,-111.2,31.2
ornatus,-111.383331,31.133333
ornatus,-111.85432,34.56364
ornatus,-99.133,30.033
ornatus,-97.52333,26.32444
ornatus,-98.609502,29.481003
ornatus,-109.216667,31.933332
ornatus,-111.5823742,33.0311382
ornatus,-110.871,32.154
ornatus,-98.746345,26.519587
ornatus,-97.647768,26.454998
ornatus,-98.219365,26.422958
ornatus,-111.822594,33.422245
ornatus,-110.75,31.533333
ornatus,-106.77834,32.31232
ornatus,-106.817234,32.41885
ornatus,-109.545345,31.344547
ornatus,-111.265394,33.573184
ornatus,-111.888847,31.96905
ornatus,-110.55,32.13
ornatus,-97.696102,26.190631
ornatus,-111.134277,33.667549
ornatus,-103.05986,29.81698
ornatus,-110.065132,31.714289
ornatus,-97.48333,25.9
ornatus,-100.11338,25.49554
ornatus,-101.116669,27.85
ornatus,-106.20842,28.68586
ornatus,-116.116667,30.5
ornatus,-97.22787,26.0644
ornatus,-110.926479,31.931489
ornatus,-110.97537,31.46732
ornatus,-110.691479,32.400908
ornatus,-109.92172,32.11368
ornatus,-112.07404,33.44838
ornatus,-111.963046,33.838826
ornatus,-97.448633,25.993808
ornatus,-109.4507157,32.1489764
ornatus,-114.622466,35.043057
ornatus,-100.42167,29.30583
ornatus,-98.07233,28.421235
ornatus,-107.979763,32.856186
ornatus,-99.490029,27.540321
ornatus,-111.73913,33.078379
ornatus,-98.462437,29.435515
ornatus,-98.456402,29.233573
ornatus,-100.07726,31.17073
ornatus,-110.64397,31.94147
ornatus,-114.21667,34.18333
ornatus,-108.576721,32.9659
ornatus,-110.80834,31.72028
ornatus,-109.1053408,32.7069484
ornatus,-100.62361,28.94778
ornatus,-108.3274269,33.3026992
ornatus,-111.970152,34.59054
ornatus,-111.9333,32.9833
ornatus,-99.9288888888,20.9086111111
ornatus,-97.509,28.14492
ornatus,-103.1671142,29.3082557
ornatus,-103.6944103,30.4447763
ornatus,-103.0050659,29.1341697
ornatus,-103.1529999,29.2165594
ornatus,-112.125264,33.5481009
ornatus,-110.22163,31.87502
ornatus,-97.50634,26.12657
ornatus,-98.8199997,26.3789997
ornatus,-107.4833336,29.8790358
ornatus,-114.4161777,35.1799991
ornatus,-110.0672226,32.0838814
ornatus,-110.8522,31.8333
ornatus,-106.333344,32.766666
ornatus,-110.64,32.7225
ornatus,-103.8331449,30.3941115
ornatus,-109.0242004,31.3751837
ornatus,-111.36646,33.3359407
ornatus,-111.36646,32.8715892
ornatus,-103.8005556,25.2702778
ornatus,-103.647091,25.4786934
ornatus,-110.9578897,33.1053404
ornatus,-107.7564812,32.2612977
ornatus,-99.8281136,28.6813438
ornatus,-104.952119,25.6203535
ornatus,-110.9402778,32.0811111
ornatus,-110.9,29.3833333
ornatus,-111.1833333,31.4333333
ornatus,-112.0666667,30.65
ornatus,-98.1166687012,29.7000007629
ornatus,-98.0833358765,29.0666675568
ornatus,-97.75,28.3999996185
ornatus,-110.9333343506,32.3833351135
ornatus,-110.6666641235,32.5
ornatus,-110.3188889,29.4436111
ornatus,-109.9355556,27.6069444
ornatus,-100.8569444,28.0169444
ornatus,-116.0763888889,33.5716666667
ornatus,-108.9799028,31.876424
ornatus,-97.3833333333,27.8
ornatus,-111.5333333,31.3666667
ornatus,-109.0999984741,31.9166660309
ornatus,-98.4233333,23.975
