"name"	"longitude"	"latitude"	"subspecies"	"acaciarum"	"numSubsppGroups"	"assigned"
"Auriparus flaviceps"	-102.58	0	"unknown"	0	0	"none"
"Auriparus flaviceps flaviceps"	-112.9	27.15	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-109	25.66	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-109.9	27.78	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-111.62	25.93	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-109.87	23.56	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.35	24.11	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-111.8	24.45	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.89	27.3	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.34	24.32	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.8	25.63	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.2	23.72	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-111.31	25.81	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.63	24.98	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-113.42	29.25	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-109.87	24.24	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-109.86	24.24	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-109.86	24.26	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-109.92	22.88	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-109.88	22.87	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-111.14	25.46	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.03	23.31	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.25	24.15	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-109.94	27.61	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-111.55	33.42	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.72	32.3	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-113.5	27.68	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-108.7	26.97	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-109.29	25.97	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.38	29	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.87	27.92	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.39	27.75	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.44	27.77	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.32	28.76	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.28	28.78	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-111.92	28.82	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-111.93	28.81	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-111.92	25.51	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-111.93	26.72	"flaviceps"	1	1	"acaciarum"
