assigned,longitude,latitude
acaciarum,-99.12,28.36
acaciarum,-97.82,27.98
acaciarum,-104.32,32.32
acaciarum,-114.72,32.59
acaciarum,-112.24,33.17
acaciarum,-100.94,21.8
acaciarum,-110.14,32
acaciarum,-115.04,32.27
acaciarum,-105.42,28.32
acaciarum,-102.6,22.7
acaciarum,-110.98,32.45
acaciarum,-100.01,29.54
acaciarum,-104.97,28.01
acaciarum,-114.65,32.52
acaciarum,-112.08,26.19
acaciarum,-117.47,36.34
acaciarum,-114.6,32.67
acaciarum,-115.25,35.99
acaciarum,-99.8,20.68
acaciarum,-116.31,34.13
acaciarum,-112.12,33.86
acaciarum,-113.02,31.94
acaciarum,-110.96,29.69
acaciarum,-101.12,25.08
acaciarum,-112.11,33.75
acaciarum,-100.11,25.89
acaciarum,-109.78,23.36
acaciarum,-116.16,34.12
acaciarum,-111.11,30.19
acaciarum,-118.3,34.76
acaciarum,-110.23,23.45
acaciarum,-114.3,34.94
acaciarum,-115.45,36.16
acaciarum,-100.71,25.76
acaciarum,-113.8,36.95
acaciarum,-110.43,32
acaciarum,-109.17,25.91
acaciarum,-105.2,27.05
acaciarum,-109.05,25.99
acaciarum,-113.78,37.25
acaciarum,-114.11,36.81
acaciarum,-106.04,31.92
acaciarum,-99.51,20.76
acaciarum,-108.97,25.81
acaciarum,-113.71,37.16
acaciarum,-100.44,25.66
acaciarum,-111.73,33.37
acaciarum,-100.94,22.13
acaciarum,-112.51,33.59
acaciarum,-107.31,32.91
acaciarum,-100.59,26.49
acaciarum,-117.24,34.35
acaciarum,-111.18,31.73
acaciarum,-103.44,29.52
acaciarum,-107.72,32.44
acaciarum,-111.18,31.63
acaciarum,-110.69,32.22
acaciarum,-112.37,33.73
acaciarum,-116.56,34.04
acaciarum,-100.73,20.92
acaciarum,-114.12,35.13
acaciarum,-107.98,32.59
acaciarum,-106.87,34.33
acaciarum,-110.84,29.24
acaciarum,-99.81,28.69
acaciarum,-118.36,34.27
acaciarum,-110.59,28.2
acaciarum,-103.9,29.1
acaciarum,-111.9,34.83
acaciarum,-115.94,33.52
acaciarum,-102.63,21.09
acaciarum,-98.02,26.57
acaciarum,-106.58,31.84
acaciarum,-111.89,33.22
acaciarum,-116.42,33.8
acaciarum,-99.16,26.53
acaciarum,-102.12,31.96
acaciarum,-107.21,33.23
acaciarum,-100.53,20.81
acaciarum,-110.94,31.36
acaciarum,-115.55,32.97
acaciarum,-106.9,32.45
acaciarum,-111.29,33.86
acaciarum,-111.8,33.78
acaciarum,-115.16,36.28
acaciarum,-99.28,28.32
acaciarum,-110.23,31.4
acaciarum,-111.35,33.55
acaciarum,-97.74,26.09
acaciarum,-115.27,32.79
acaciarum,-117.65,35.62
acaciarum,-114.84,36.12
acaciarum,-110.97,31.87
acaciarum,-111.05,31.73
acaciarum,-97.96,26.07
acaciarum,-110.03,27.36
acaciarum,-112.44,33.31
acaciarum,-103.77,30.99
acaciarum,-111.82,33.47
acaciarum,-109.7,32.76
acaciarum,-106.49,31.78
acaciarum,-110.77,32.99
acaciarum,-101.09,33.47
acaciarum,-111.66,33.74
acaciarum,-113.02,32.04
acaciarum,-108.82,31.72
acaciarum,-111.7,34.54
acaciarum,-108.92,31.76
acaciarum,-107.3,33.04
acaciarum,-113.56,28.94
acaciarum,-110.72,32.86
acaciarum,-111.95,33.65
acaciarum,-110.84,32.09
acaciarum,-110.58,32.88
acaciarum,-98.24,26.44
acaciarum,-102.81,21.03
acaciarum,-97.3,26.1
acaciarum,-113.54,31.34
acaciarum,-111.52,33.58
acaciarum,-110.64,31.79
acaciarum,-109.47,32.79
acaciarum,-115.9,36.12
acaciarum,-104.15,32.38
acaciarum,-114.5,36.62
acaciarum,-110.47,31.7
acaciarum,-112.4,33.49
acaciarum,-97.76,26.3
acaciarum,-112.36,33.6
acaciarum,-107.57,32.92
acaciarum,-112.95,32.31
acaciarum,-114.98,36.02
acaciarum,-97.43,25.85
acaciarum,-101.69,21.18
acaciarum,-98.64,29.74
acaciarum,-111.77,34.78
acaciarum,-111.86,33.97
acaciarum,-113.61,37.05
acaciarum,-115.12,35.9
acaciarum,-115.12,36.06
acaciarum,-116.02,34.02
acaciarum,-98.47,26.34
acaciarum,-106.74,32.62
acaciarum,-101.32,29.69
acaciarum,-98.47,29.31
acaciarum,-110.3,31.98
acaciarum,-110.97,31.97
acaciarum,-99.67,27.66
acaciarum,-112.33,33.83
acaciarum,-108.6,32.81
acaciarum,-111.34,34.28
acaciarum,-107.25,33.12
acaciarum,-112.25,33.75
acaciarum,-110.11,31.41
acaciarum,-115.79,32.15
acaciarum,-113.39,37.15
acaciarum,-111.27,32.5
acaciarum,-114.66,35.87
acaciarum,-110.95,25.3
acaciarum,-112.16,34.04
acaciarum,-110.29,32.15
acaciarum,-114.71,36.71
acaciarum,-112.35,34.57
acaciarum,-114.02,37.14
acaciarum,-106.72,32.26
acaciarum,-111.94,33.44
acaciarum,-110.61,32.33
acaciarum,-110.09,27.56
acaciarum,-106.69,31.84
acaciarum,-99.45,26.18
acaciarum,-115.26,36.32
acaciarum,-112.61,32.89
acaciarum,-99.52,26.06
acaciarum,-98.64,29.24
acaciarum,-109.85,32.91
acaciarum,-98.26,26.1
acaciarum,-106.92,34.2
acaciarum,-113.29,37.21
acaciarum,-111.43,33.14
acaciarum,-109.18,26.47
acaciarum,-101.08,33.05
acaciarum,-112.09,33.45
acaciarum,-117.84,34.47
acaciarum,-110.92,32.58
acaciarum,-98.73,29.51
acaciarum,-111.13,32.2
acaciarum,-98.24,29.61
acaciarum,-111.48,32.45
acaciarum,-98.14,26.29
acaciarum,-111.35,33.4
acaciarum,-109.58,23.59
acaciarum,-100.74,24.35
acaciarum,-112.67,33.5
acaciarum,-115.51,34.51
acaciarum,-106.83,32.28
acaciarum,-114.85,35.95
acaciarum,-114.07,32.74
acaciarum,-109.28,31.34
acaciarum,-114.15,32.68
acaciarum,-111.5,32.62
acaciarum,-107.67,25.04
acaciarum,-97.84,28.76
acaciarum,-111.59,32.68
acaciarum,-104.5,24.09
acaciarum,-101.27,30.64
acaciarum,-106.91,34.08
acaciarum,-115.85,33.44
acaciarum,-112.26,32.81
acaciarum,-112.74,33.76
acaciarum,-110.8,32.2
acaciarum,-112.98,37.21
acaciarum,-112.61,33.86
acaciarum,-111.23,33.75
acaciarum,-99.44,27.04
acaciarum,-99.31,27.08
acaciarum,-110,31.57
acaciarum,-100.16,32.14
acaciarum,-114.1,32.51
acaciarum,-104.47,32.1
acaciarum,-111.91,34.74
acaciarum,-110.76,32.6
acaciarum,-114.02,29.15
acaciarum,-111.71,33.23
acaciarum,-110.89,31.78
acaciarum,-106.76,32.37
acaciarum,-97.34,26.22
acaciarum,-104.44,24.24
acaciarum,-104.75,24.71
acaciarum,-104.9,24.91
acaciarum,-109.72,31.56
acaciarum,-110.07,31.71
acaciarum,-111.71,33.47
acaciarum,-114.27,34.49
acaciarum,-102.9,31.58
acaciarum,-109.73,23.8
acaciarum,-98.12,26.2
acaciarum,-111.48,33.35
acaciarum,-98.62,29.57
acaciarum,-104.4,33.45
acaciarum,-104.36,30.48
acaciarum,-99.95,25.87
acaciarum,-110.33,24.28
acaciarum,-111.34,32.23
acaciarum,-109.83,32.25
acaciarum,-107.38,32.98
acaciarum,-106.82,34.43
acaciarum,-98.25,28.72
acaciarum,-109.86,32.81
acaciarum,-114.45,32.87
acaciarum,-98.41,29.14
acaciarum,-112.25,33.63
acaciarum,-107.18,32.68
acaciarum,-110.53,31.54
acaciarum,-109.45,28.54
acaciarum,-111.72,32.52
acaciarum,-117.97,34.52
acaciarum,-111.41,32.54
acaciarum,-114.74,35.97
acaciarum,-112.72,32.07
acaciarum,-111.81,33.68
acaciarum,-106.77,34.69
acaciarum,-118.2,34.46
acaciarum,-112.26,33.51
acaciarum,-116.46,36.57
acaciarum,-114.5,33.02
acaciarum,-114.57,35.18
acaciarum,-101.44,25.66
acaciarum,-106.64,31.92
acaciarum,-111.82,33.88
acaciarum,-114.32,34.11
acaciarum,-115.17,36.16
acaciarum,-110.92,32.34
acaciarum,-110.33,24.4
acaciarum,-106.73,32.46
acaciarum,-110.38,31.55
acaciarum,-106.61,32.39
acaciarum,-109.97,33.05
acaciarum,-109.24,26.37
acaciarum,-104.43,23.42
acaciarum,-112.78,32.38
acaciarum,-97.87,28.06
acaciarum,-111,24.07
acaciarum,-112.6,26.38
acaciarum,-113.13,27.32
acaciarum,-112.48,26.24
acaciarum,-109.99,33.22
acaciarum,-103.78,29.26
acaciarum,-102.36,22
acaciarum,-99.72,29.49
acaciarum,-113.53,37.14
acaciarum,-109.01,27.03
acaciarum,-104.5,30
acaciarum,-104.64,30
acaciarum,-104.68,30.09
acaciarum,-108.91,26.91
acaciarum,-104.18,30.38
acaciarum,-117.78,34.7
acaciarum,-112.86,32.45
acaciarum,-116.68,33.89
acaciarum,-106.23,31.74
acaciarum,-105.36,32.43
acaciarum,-97.65,29.07
acaciarum,-110.4,33.16
acaciarum,-113.77,33.67
acaciarum,-108.91,27.01
acaciarum,-110.24,33.19
acaciarum,-111.36,34
acaciarum,-114.66,30.56
acaciarum,-110.52,33.17
acaciarum,-103.88,32.38
acaciarum,-99.92,20.38
acaciarum,-99.53,29.28
acaciarum,-111.72,33.96
acaciarum,-115.39,33.74
acaciarum,-115.28,36.13
acaciarum,-103.7,25.7
acaciarum,-99.81,20.92
acaciarum,-102.28,21.85
acaciarum,-106.38,28.34
acaciarum,-110.81,29.59
acaciarum,-110.56,32.01
acaciarum,-97.88,26.14
acaciarum,-110.73,29.5
acaciarum,-110.11,24
acaciarum,-112.03,33.07
acaciarum,-113.05,27.81
acaciarum,-110.99,27.94
acaciarum,-102.55,22.81
acaciarum,-110.94,31.67
acaciarum,-103.5,25.56
acaciarum,-103.26,25.59
acaciarum,-112.14,33.95
acaciarum,-103.57,25.48
acaciarum,-114.62,33.03
acaciarum,-115.9,33.87
acaciarum,-99.74,29.6
acaciarum,-99.32,31.75
acaciarum,-98.87,26.48
acaciarum,-97.9,30.78
acaciarum,-112.55,33.44
acaciarum,-105.81,26.81
acaciarum,-98.09,30.68
acaciarum,-112.54,33.76
acaciarum,-114.64,32.43
acaciarum,-103.59,25.7
acaciarum,-116.95,32.67
acaciarum,-106.3,31.64
acaciarum,-111.25,32.01
acaciarum,-111.92,33.35
acaciarum,-110,23.07
acaciarum,-110.17,23.33
acaciarum,-111.16,33.28
acaciarum,-102.72,22.67
acaciarum,-117.83,34.6
acaciarum,-102.07,27
acaciarum,-109.93,27.59
acaciarum,-98.37,29.51
acaciarum,-105.61,28.45
acaciarum,-109.11,26.3
acaciarum,-107.62,32.18
acaciarum,-99.27,25.69
acaciarum,-98.37,26.18
acaciarum,-116.55,33.75
acaciarum,-103.93,29.29
acaciarum,-112,33.87
acaciarum,-101.11,20.23
acaciarum,-103.56,24.24
acaciarum,-104.31,23.94
acaciarum,-104.73,24.02
acaciarum,-101.23,22.27
acaciarum,-111.05,31.61
acaciarum,-103.6,25.9
acaciarum,-110.36,31.7
acaciarum,-100.44,20.55
acaciarum,-110.1,23.8
acaciarum,-111.05,25.69
acaciarum,-111.09,24.39
acaciarum,-115.35,32.55
acaciarum,-110.63,24.93
acaciarum,-107.62,24.59
acaciarum,-99.66,20.39
acaciarum,-103.72,25.46
acaciarum,-111.79,33.59
acaciarum,-101.06,25.31
acaciarum,-110.74,28.09
acaciarum,-112.15,34.15
acaciarum,-111.97,33.76
acaciarum,-104.83,31.03
acaciarum,-112.03,33.55
acaciarum,-105.34,28.26
acaciarum,-117.05,34.44
acaciarum,-100.11,25.8
acaciarum,-114.37,27.26
acaciarum,-112.07,33.35
acaciarum,-109.8,22.98
acaciarum,-112.47,34.5
acaciarum,-109.98,23.75
acaciarum,-115.46,36.07
acaciarum,-111.55,33.16
acaciarum,-113.05,26.92
acaciarum,-101.65,22.75
acaciarum,-99.35,20.71
acaciarum,-116.04,34.13
acaciarum,-112.15,29.02
acaciarum,-112.01,33.98
acaciarum,-112.76,32.24
acaciarum,-114.73,33.61
acaciarum,-106.39,32.04
acaciarum,-118.04,33.71
acaciarum,-101.4,26.94
acaciarum,-114.53,36.5
acaciarum,-116.14,34.03
acaciarum,-100.46,20.73
acaciarum,-110.29,23.91
acaciarum,-101.75,24.63
acaciarum,-103.9,30.59
acaciarum,-116.23,32.86
acaciarum,-110.35,31.84
acaciarum,-97.57,25.98
acaciarum,-100.24,25.95
acaciarum,-109.23,29.04
acaciarum,-111.67,33.14
acaciarum,-112.1,34.31
acaciarum,-110.79,32.29
acaciarum,-118.2,34.67
acaciarum,-108.06,25.47
acaciarum,-116.2,33.73
acaciarum,-110.29,23.54
acaciarum,-116.26,33.92
acaciarum,-101.67,30.44
acaciarum,-109.2,31.86
acaciarum,-110.14,31.55
acaciarum,-111.65,33.55
acaciarum,-114.37,32.66
acaciarum,-114.2,35.41
acaciarum,-111.91,34.2
acaciarum,-111.53,30.4
acaciarum,-109.74,29.29
acaciarum,-115.19,36.79
acaciarum,-103.79,25.26
acaciarum,-115.69,33.1
acaciarum,-99.61,30.56
acaciarum,-109.58,23.04
acaciarum,-101.48,21.04
acaciarum,-114.49,32.69
acaciarum,-110.27,31.56
acaciarum,-111.43,25.33
acaciarum,-117.39,34.48
acaciarum,-110.2,23.87
acaciarum,-98.38,25.97
acaciarum,-101.7,23.87
acaciarum,-118.12,34.54
acaciarum,-111.14,32.48
acaciarum,-111.8,34.87
acaciarum,-111.08,31.84
acaciarum,-111.03,32.29
acaciarum,-111.43,28.3
acaciarum,-111.47,33.46
acaciarum,-103.36,25.8
acaciarum,-116.43,33.92
acaciarum,-112.25,27.06
acaciarum,-111.84,26.64
acaciarum,-111.2,32.27
acaciarum,-116.39,34.06
acaciarum,-113.78,27.88
acaciarum,-104.51,23.97
acaciarum,-102.93,29.19
acaciarum,-110.58,28.8
acaciarum,-114.39,35.22
acaciarum,-111.64,33.85
acaciarum,-106.51,31.92
acaciarum,-116.66,33.99
acaciarum,-104.6,24.06
acaciarum,-111.76,34.65
acaciarum,-100.5,21.18
acaciarum,-102.82,25.32
acaciarum,-101.94,35.23
acaciarum,-100.31,26.03
acaciarum,-114.53,33.72
acaciarum,-101.76,25.55
acaciarum,-112,28.92
acaciarum,-99.5,27.71
acaciarum,-115.39,32.66
acaciarum,-104.32,33.12
acaciarum,-112.16,33.56
acaciarum,-107.94,24.66
acaciarum,-103.74,26.68
acaciarum,-109.1,31.77
acaciarum,-106.08,27.8
acaciarum,-111.28,26.11
acaciarum,-115.32,31.27
acaciarum,-103.7,25.07
acaciarum,-109.72,23.16
acaciarum,-98.72,20.37
acaciarum,-100.36,25.93
acaciarum,-99.52,28.53
acaciarum,-102.59,21.48
acaciarum,-107.36,24.85
acaciarum,-103.75,24.95
acaciarum,-104.21,29.8
acaciarum,-103.9,24.7
acaciarum,-110.4,32.88
acaciarum,-103.34,25.52
acaciarum,-99.41,27.9
acaciarum,-113.03,37.3
acaciarum,-107.53,25.02
acaciarum,-102.7,21.17
acaciarum,-116,36.35
acaciarum,-100.83,22.39
acaciarum,-98.9,25.63
acaciarum,-107.7,24.77
acaciarum,-102.41,22.79
acaciarum,-99.75,20.57
acaciarum,-111.09,34.05
acaciarum,-101.91,21
acaciarum,-110.59,24.24
acaciarum,-112.05,30.68
acaciarum,-110.34,30.97
acaciarum,-115.63,34.81
acaciarum,-102.37,21.75
acaciarum,-114.82,36.75
acaciarum,-110.94,29.05
acaciarum,-110.82,29.03
acaciarum,-111.79,33.04
acaciarum,-110.76,24.64
acaciarum,-117.14,34.57
acaciarum,-103.47,28.88
acaciarum,-109.87,27.51
acaciarum,-103.33,29.03
acaciarum,-113.95,36.84
acaciarum,-112.09,33.63
acaciarum,-115.67,34.71
acaciarum,-98.43,30.89
acaciarum,-109.99,24.04
acaciarum,-100.78,21.02
acaciarum,-100.37,20.63
acaciarum,-112.06,33.21
acaciarum,-116.39,34.27
acaciarum,-100.56,25.84
acaciarum,-98.61,31.27
acaciarum,-112.82,33.6
acaciarum,-104.03,29.32
acaciarum,-114.17,34.35
acaciarum,-105.93,28.84
acaciarum,-116.37,33.13
acaciarum,-110.78,33.4
acaciarum,-98.78,24.01
acaciarum,-116.52,33.35
acaciarum,-98.14,26.07
acaciarum,-105.42,28.41
acaciarum,-111.98,26.89
acaciarum,-103.25,29.25
acaciarum,-98.13,30.47
acaciarum,-116.29,33.6
acaciarum,-115.76,33.83
acaciarum,-111.8,34.97
acaciarum,-103.36,29.66
acaciarum,-101,25.09
acaciarum,-112.36,27.25
acaciarum,-112.83,32.03
acaciarum,-112.27,27.34
acaciarum,-112.05,34.76
acaciarum,-116.54,33.85
acaciarum,-104.9,25.48
acaciarum,-108.95,32.09
acaciarum,-109.55,23.45
acaciarum,-106.87,33.81
acaciarum,-111.95,27.07
acaciarum,-114.9,32.69
acaciarum,-99.69,22.93
acaciarum,-113.43,29.34
acaciarum,-113.97,33.5
acaciarum,-114.52,32.58
acaciarum,-101.12,22.1
acaciarum,-103.61,29.32
acaciarum,-117.77,35.61
acaciarum,-112.59,34.04
acaciarum,-111.89,33.54
acaciarum,-105.01,25.57
acaciarum,-99.96,20.75
acaciarum,-98.97,21.48
acaciarum,-103.75,25.36
acaciarum,-111.72,24.39
acaciarum,-112.32,33.38
acaciarum,-104.04,24.79
acaciarum,-98.65,26.6
acaciarum,-115.42,31.3
acaciarum,-112.65,33.31
acaciarum,-97.84,28.16
acaciarum,-103.8,28.94
acaciarum,-109.34,32.01
acaciarum,-110.3,23.69
acaciarum,-116.3,33.8
acaciarum,-116.2,35.8
acaciarum,-114.82,32.54
acaciarum,-112.09,24.71
acaciarum,-113.65,27.27
acaciarum,-109.71,23.71
acaciarum,-106.74,34.6
acaciarum,-100.76,23.83
acaciarum,-111.45,33.82
acaciarum,-113.17,33.66
acaciarum,-112.18,33.4
acaciarum,-110.09,23.01
acaciarum,-99.8,30.44
acaciarum,-101.77,21.08
acaciarum,-109.3,33.07
acaciarum,-99.93,20.91
acaciarum,-99.48,27.48
acaciarum,-98.23,26.67
acaciarum,-99.39,23.41
acaciarum,-114.25,27.19
acaciarum,-109.92,31.92
acaciarum,-98.75,30.9
acaciarum,-110.09,23.55
acaciarum,-106.23,31.41
acaciarum,-109.43,23.36
acaciarum,-105.95,32.87
acaciarum,-110.3,31.47
acaciarum,-111.72,32.83
acaciarum,-109.65,23.47
acaciarum,-97.62,29.6
acaciarum,-112.02,32.04
acaciarum,-111.26,25.81
acaciarum,-107.46,24.79
acaciarum,-108.16,25.36
acaciarum,-111.2,28.99
acaciarum,-103.41,25.63
acaciarum,-110.14,24.24
acaciarum,-104.33,29.84
acaciarum,-110.32,29.13
acaciarum,-105.72,28.46
acaciarum,-117.26,33.95
acaciarum,-108.46,25.57
acaciarum,-102.46,22.17
acaciarum,-111.38,26.07
acaciarum,-103.42,25.94
acaciarum,-109.99,22.97
acaciarum,-109.79,27.73
acaciarum,-112.01,26.3
acaciarum,-103.63,26.75
acaciarum,-105.66,26.93
acaciarum,-101.65,24.63
acaciarum,-109.14,33.03
acaciarum,-115.33,35.78
acaciarum,-100.81,20.03
acaciarum,-101.06,25.46
acaciarum,-100.79,29.97
acaciarum,-116.26,35.98
acaciarum,-110.39,24.56
acaciarum,-106.07,28.63
acaciarum,-110.85,31.49
acaciarum,-99.13,31.28
acaciarum,-105.58,28.26
acaciarum,-101.27,21.01
acaciarum,-111.82,30.72
acaciarum,-102.26,22.16
acaciarum,-117.76,35.22
acaciarum,-115.9,34.19
acaciarum,-114.37,34.54
acaciarum,-101.64,24.85
acaciarum,-100.98,25.37
acaciarum,-110.22,31.72
acaciarum,-110,30.59
acaciarum,-101.34,24.58
acaciarum,-112.82,31.93
acaciarum,-111.12,28.83
acaciarum,-109.93,27.39
acaciarum,-104.55,25.17
acaciarum,-103.44,29.17
acaciarum,-99.35,19.89
acaciarum,-111.81,26.06
acaciarum,-110.23,29.82
acaciarum,-102.87,25.43
acaciarum,-115.25,36.43
acaciarum,-115.2,36.52
acaciarum,-103.45,25.22
acaciarum,-115.33,33.18
acaciarum,-111.32,31.57
acaciarum,-116.32,36.47
acaciarum,-109.17,26.59
acaciarum,-101.92,21.95
acaciarum,-111.04,28.5
acaciarum,-111.1,27.94
acaciarum,-116.2,33.53
acaciarum,-100.47,28.6
acaciarum,-115.3,32.18
acaciarum,-110.85,29.13
acaciarum,-100.54,28.75
acaciarum,-107.98,25.41
acaciarum,-101.08,22.21
acaciarum,-116.24,33.06
acaciarum,-112.33,32.66
acaciarum,-102.84,25.69
acaciarum,-117.12,32.54
acaciarum,-109.45,32.32
acaciarum,-114.66,32.86
acaciarum,-110.05,32.08
acaciarum,-98.64,33.59
acaciarum,-101.8,33.56
acaciarum,-105.62,28.17
acaciarum,-98.83,29.97
acaciarum,-114.33,35.04
acaciarum,-99.73,32.38
acaciarum,-100.11,25.68
acaciarum,-103.94,26.58
acaciarum,-98.39,28.52
acaciarum,-111.23,33.1
acaciarum,-105.54,28.55
acaciarum,-100.89,28.41
acaciarum,-116.53,33.61
acaciarum,-98.82,30.5
acaciarum,-101.49,32.23
acaciarum,-103.82,26.38
acaciarum,-119.18,34.14
acaciarum,-110.81,33.54
acaciarum,-100.84,22.16
acaciarum,-103.66,27.29
acaciarum,-100.33,25.65
acaciarum,-110.16,30.37
acaciarum,-98.27,26.2
acaciarum,-102.95,24.83
acaciarum,-98.61,28.41
acaciarum,-100.01,32.48
acaciarum,-117.21,34.09
acaciarum,-111.13,32.35
acaciarum,-110.95,31.24
acaciarum,-103.55,29.16
acaciarum,-99.94,32.64
acaciarum,-100.44,29.63
acaciarum,-99.66,29.84
acaciarum,-99.8,32.5
acaciarum,-98.42,26.46
acaciarum,-99.18,28.93
acaciarum,-99.16,30.05
acaciarum,-108.08,31.41
acaciarum,-106.8,29.94
acaciarum,-98.12,30.37
acaciarum,-115.32,33.62
acaciarum,-108.23,33.21
acaciarum,-102.32,31.89
acaciarum,-97.65,30.56
acaciarum,-100.5,21.27
acaciarum,-111.11,32.71
acaciarum,-97.94,27.44
acaciarum,-98.06,27.97
acaciarum,-99.27,23.43
acaciarum,-109.42,23.45
acaciarum,-111.2,32.6
acaciarum,-110.9,23.99
acaciarum,-100.9,20.85
acaciarum,-98.75,27.35
acaciarum,-99.28,30.66
acaciarum,-109.2,32.33
acaciarum,-116.21,34.2
acaciarum,-108.34,25.73
acaciarum,-111.09,34.33
acaciarum,-116.57,33.25
acaciarum,-116.86,34.41
acaciarum,-99.67,27.48
acaciarum,-106.4,31.9
acaciarum,-115.26,33.71
acaciarum,-116.46,33.22
acaciarum,-115.5,32.58
acaciarum,-99.19,33.17
acaciarum,-106.6,35.02
acaciarum,-104.46,24.78
acaciarum,-101.45,26.31
acaciarum,-110,27.48
acaciarum,-103.76,24.39
acaciarum,-116.06,36.25
acaciarum,-102.14,21.58
acaciarum,-101.7,21.89
acaciarum,-114.16,35.03
acaciarum,-99.47,21.22
acaciarum,-117.88,35.19
acaciarum,-99.39,33.41
acaciarum,-111.87,29.14
acaciarum,-111.1,29.06
acaciarum,-98.05,26
acaciarum,-103.25,25.69
acaciarum,-100.87,20.71
acaciarum,-101.33,21.26
acaciarum,-104.65,23.96
acaciarum,-101.01,25.23
acaciarum,-117.89,35.05
acaciarum,-118.56,34.43
acaciarum,-99.98,26.47
acaciarum,-100,25.71
acaciarum,-107.97,25.01
acaciarum,-117.34,37.03
acaciarum,-100.55,31.38
acaciarum,-110.44,24.13
acaciarum,-101.03,28.31
acaciarum,-103.37,29.28
acaciarum,-104.55,30.12
acaciarum,-99.16,29.37
acaciarum,-100.02,29.69
acaciarum,-103.6,25.59
acaciarum,-103.45,25.47
acaciarum,-108.68,28.95
acaciarum,-100.23,25.76
acaciarum,-102.4,30.14
acaciarum,-97.52,26.32
acaciarum,-115.73,34.91
acaciarum,-102.87,23.17
acaciarum,-101.68,33.54
acaciarum,-98.53,26.26
acaciarum,-110.82,31.97
acaciarum,-100.57,31.2
acaciarum,-111.46,33.94
acaciarum,-100.44,25.77
acaciarum,-99.85,20.48
acaciarum,-110.88,27.9
acaciarum,-117.38,35.86
acaciarum,-114.29,33.54
acaciarum,-109.48,31.96
acaciarum,-98.84,29.54
acaciarum,-99.9,20.67
acaciarum,-111.27,32.89
acaciarum,-99.67,26.81
acaciarum,-101.26,22.1
acaciarum,-114.68,35.23
acaciarum,-110.51,27.89
acaciarum,-110.2,23.73
acaciarum,-110.97,30.62
acaciarum,-98.25,24.51
acaciarum,-117.65,34.44
acaciarum,-116.07,32.68
acaciarum,-113.52,29.54
acaciarum,-112.77,33.37
acaciarum,-110.45,31.43
acaciarum,-109.75,31.89
acaciarum,-97.32,25.95
acaciarum,-111.32,31.82
acaciarum,-111.1,30.55
acaciarum,-100.61,20.67
acaciarum,-109.56,29.84
acaciarum,-114.05,33.66
acaciarum,-97.48,26.02
