assigned,longitude,latitude
hidalgensis,-102,21.23
hidalgensis,-101.65,22.75
hidalgensis,-99.8,20.68
hidalgensis,-100.44,20.55
hidalgensis,-99.51,20.76
hidalgensis,-102.63,21.09
hidalgensis,-100.53,20.81
hidalgensis,-99.81,20.92
hidalgensis,-101.69,21.18
hidalgensis,-100.29,20.61
hidalgensis,-102.47,22.13
hidalgensis,-101.11,20.23
hidalgensis,-101.23,22.27
hidalgensis,-99.66,20.39
hidalgensis,-99.35,20.71
hidalgensis,-99.97,20.39
hidalgensis,-100.94,21.79
hidalgensis,-101.48,21.04
hidalgensis,-102.33,21.99
hidalgensis,-98.72,20.37
hidalgensis,-102.59,21.48
hidalgensis,-102.7,21.17
hidalgensis,-100.83,22.39
hidalgensis,-101.91,21
hidalgensis,-102.37,21.75
hidalgensis,-102.25,21.81
hidalgensis,-100.78,21.02
hidalgensis,-99.69,22.93
hidalgensis,-101.12,22.1
hidalgensis,-102.27,22.15
hidalgensis,-99.96,20.75
hidalgensis,-98.97,21.48
hidalgensis,-101.77,21.08
hidalgensis,-102.72,21.85
hidalgensis,-102.75,21.06
hidalgensis,-100.81,20.03
hidalgensis,-101.39,20.68
hidalgensis,-100.97,22.1
hidalgensis,-99.35,19.89
hidalgensis,-101.92,21.95
hidalgensis,-101.08,22.21
hidalgensis,-100.84,22.15
hidalgensis,-99.9,20.5
hidalgensis,-100.5,21.27
hidalgensis,-100.9,20.85
hidalgensis,-100.51,20.7
hidalgensis,-102.14,21.58
hidalgensis,-101.7,21.89
hidalgensis,-99.47,21.22
hidalgensis,-101.3,21.02
hidalgensis,-100.87,20.71
hidalgensis,-101.33,21.26
hidalgensis,-100.78,21.69
hidalgensis,-99.75,20.56
hidalgensis,-99.9,20.67
hidalgensis,-101.26,22.1
hidalgensis,-100.61,20.67
hidalgensis,-102.08,22.1
hidalgensis,-101.04,21.76
hidalgensis,-101.17,21.99
hidalgensis,-102.24,21.52
hidalgensis,-102.41,21.92
hidalgensis,-101.65,21.28
hidalgensis,-102.59,22.18
hidalgensis,-100.04,22.15
hidalgensis,-100.62,21.41
hidalgensis,-100.96,21.46
hidalgensis,-100.8,20.93
hidalgensis,-101.28,20.9
hidalgensis,-100.55,21.19
hidalgensis,-100.94,21.15
hidalgensis,-101.1,20.74
hidalgensis,-102.2,21.98
hidalgensis,-101.55,21.32
hidalgensis,-102.62,21.86
hidalgensis,-101.2,20.69
hidalgensis,-100.84,22
hidalgensis,-101.31,20.8
hidalgensis,-102.18,22.25
hidalgensis,-100.91,21.92
hidalgensis,-100.07,20.44
hidalgensis,-102.23,22.35
hidalgensis,-98.76,20.59
hidalgensis,-100.28,22.87
hidalgensis,-100.16,22.86
hidalgensis,-99.93,21.79
hidalgensis,-99.93,20.91
hidalgensis,-101.71,21.53
hidalgensis,-97.83,22.25
hidalgensis,-98.63,20.46
hidalgensis,-99.3,20.55
