assigned,longitude,latitude
lamprocephalus,-110.1,23.8
lamprocephalus,-111.09,24.39
lamprocephalus,-109.82,23.55
lamprocephalus,-109.7,23.8
lamprocephalus,-111,24.07
lamprocephalus,-110.19,24.09
lamprocephalus,-110.32,24.16
lamprocephalus,-110.11,24
lamprocephalus,-110.64,24.92
lamprocephalus,-109.98,23.75
lamprocephalus,-110.29,23.91
lamprocephalus,-110.28,23.54
lamprocephalus,-110.22,23.41
lamprocephalus,-110.2,23.87
lamprocephalus,-109.69,23.48
lamprocephalus,-110.59,24.24
lamprocephalus,-110.76,24.64
lamprocephalus,-109.55,23.45
lamprocephalus,-111.72,24.39
lamprocephalus,-110.3,23.69
lamprocephalus,-112.09,24.71
lamprocephalus,-109.71,23.71
lamprocephalus,-109.61,23.61
lamprocephalus,-110.14,24.24
lamprocephalus,-110.39,24.56
lamprocephalus,-110.9,23.99
lamprocephalus,-110.31,24.04
lamprocephalus,-110.44,24.13
lamprocephalus,-110.68,25.02
lamprocephalus,-109.99,24.06
lamprocephalus,-109.45,23.45
lamprocephalus,-109.93,24.31
lamprocephalus,-109.81,23.42
lamprocephalus,-110.57,24.83
lamprocephalus,-109.86,24.24
lamprocephalus,-111.81,24.46
lamprocephalus,-111.51,24.54
lamprocephalus,-110.2,23.72
lamprocephalus,-110.42,24.47
lamprocephalus,-110.98,24.37
lamprocephalus,-112.22,24.91
lamprocephalus,-110.1,23.55
lamprocephalus,-110.33,24.42
lamprocephalus,-111.85,24.66
lamprocephalus,-110.31,24.27
