assigned,longitude,latitude
ornatus,-110.21,31.89
ornatus,-111.12,32.16
ornatus,-107.98,32.59
ornatus,-110.81,32.61
ornatus,-109.12,31.9
ornatus,-111.49,32.46
ornatus,-109.7,32.76
ornatus,-110.77,32.99
ornatus,-110.23,31.38
ornatus,-108.82,31.72
ornatus,-108.92,31.76
ornatus,-110.72,32.86
ornatus,-110.3,31.47
ornatus,-110.64,31.79
ornatus,-109.47,32.79
ornatus,-110.37,31.56
ornatus,-108.57,32.91
ornatus,-110.47,31.7
ornatus,-110.3,32.19
ornatus,-110.3,31.98
ornatus,-108.6,32.81
ornatus,-110.11,31.41
ornatus,-106.75,32.35
ornatus,-111.33,31.82
ornatus,-106.72,32.26
ornatus,-110.61,32.33
ornatus,-106.69,31.84
ornatus,-106.92,32.49
ornatus,-109.85,32.91
ornatus,-111.34,32.57
ornatus,-110.53,33.18
ornatus,-109.28,31.34
ornatus,-110,31.57
ornatus,-110.79,31.8
ornatus,-110.92,32.59
ornatus,-111.47,32.59
ornatus,-109.83,32.25
ornatus,-109.86,32.81
ornatus,-110.53,31.54
ornatus,-111.72,32.52
ornatus,-110.25,31.55
ornatus,-106.73,32.46
ornatus,-106.61,32.39
ornatus,-109.97,33.05
ornatus,-110.02,33.21
ornatus,-111.08,32.28
ornatus,-111.28,32.47
ornatus,-110.96,31.99
ornatus,-110.4,33.16
ornatus,-110.24,33.19
ornatus,-110.56,32.01
ornatus,-110.94,32.35
ornatus,-106.56,31.82
ornatus,-110.71,32.21
ornatus,-110.95,32.23
ornatus,-111.25,32.01
ornatus,-106.87,32.28
ornatus,-110.64,32.07
ornatus,-107.72,32.44
ornatus,-107.62,32.15
ornatus,-110.36,31.7
ornatus,-110.98,32.46
ornatus,-110.84,31.95
ornatus,-110.43,32
ornatus,-111.2,32.29
ornatus,-110.14,32
ornatus,-109.1,31.77
ornatus,-111.09,32.48
ornatus,-110.4,32.88
ornatus,-110.34,30.97
ornatus,-110.78,33.4
ornatus,-108.95,32.09
ornatus,-110.9,31.74
ornatus,-109.34,32.01
ornatus,-109.3,33.07
ornatus,-109.92,31.92
ornatus,-112.02,32.04
ornatus,-108.71,32.36
ornatus,-109.14,33.03
ornatus,-110.85,31.49
ornatus,-110.85,32.11
ornatus,-110.22,31.72
ornatus,-109.45,32.32
ornatus,-108.08,31.41
ornatus,-108.23,33.21
ornatus,-111.2,32.6
ornatus,-109.2,32.33
ornatus,-111.02,31.8
ornatus,-111.11,32.37
ornatus,-110.14,31.54
ornatus,-109.48,31.96
ornatus,-110.38,31.81
ornatus,-110.45,31.43
ornatus,-109.75,31.89
ornatus,-110.04,33.12
ornatus,-109.25,31.13
ornatus,-110.97,32.11
ornatus,-110.6,32.18
ornatus,-109.72,31.56
ornatus,-110.63,32.6
ornatus,-110.73,32.12
ornatus,-109.04,32.04
ornatus,-110.87,32.5
ornatus,-111.64,31.83
ornatus,-110.49,32.43
ornatus,-110.72,32.3
ornatus,-111.92,31.99
ornatus,-109.69,32.61
ornatus,-110.83,32.32
ornatus,-110.07,32.08
ornatus,-111.83,31.81
ornatus,-108.97,32.64
ornatus,-109.2,32.02
ornatus,-109.19,32.87
ornatus,-111.34,32.24
ornatus,-109.22,31.93
ornatus,-110.83,32.73
ornatus,-109.4,31.48
ornatus,-111.53,31.82
ornatus,-109.11,32.71
ornatus,-110.84,32.23
ornatus,-110.64,32.72
ornatus,-109.55,31.34
ornatus,-110.07,31.71
ornatus,-110.93,31.87
ornatus,-110.64,31.94
ornatus,-108.33,33.3
ornatus,-109.92,32.11
ornatus,-109.45,32.15
ornatus,-106.56,31.91
ornatus,-110.75,31.54
ornatus,-110.59,32.88
ornatus,-109.02,31.38
ornatus,-107.76,32.26
ornatus,-110.69,32.4
ornatus,-110.67,32.5
ornatus,-108.98,31.88
