assigned,longitude,latitude
acaciarum,-109.27,31.34
acaciarum,-111.9,34.83
acaciarum,-114.92,29.67
acaciarum,-115.11,32.2
acaciarum,-113.39,37.2
acaciarum,-110.81,32.17
acaciarum,-110.88,31.72
acaciarum,-110.96,31.86
acaciarum,-117.37,36.97
acaciarum,-116.26,34.04
acaciarum,-115.81,33.73
acaciarum,-114.72,35.25
acaciarum,-116.43,33.62
acaciarum,-116.54,33.74
acaciarum,-115.11,36.06
acaciarum,-115.62,33.18
acaciarum,-114.71,30.89
acaciarum,-115.79,32.16
acaciarum,-116.3,32.95
acaciarum,-115.7,32.82
acaciarum,-114.84,32.82
acaciarum,-115.49,33.17
acaciarum,-114.82,30.89
acaciarum,-115.77,32.62
acaciarum,-115.83,33.33
acaciarum,-115.62,32.89
acaciarum,-115.16,33.07
acaciarum,-115.45,32.91
acaciarum,-115.41,33.48
acaciarum,-114.68,34.45
acaciarum,-112.23,33.39
acaciarum,-114.05,35.19
acaciarum,-115.8,32.91
acaciarum,-115.74,33.66
acaciarum,-116.46,33.97
acaciarum,-111.15,33.11
acaciarum,-110.56,32.1
acaciarum,-116.18,32.64
acaciarum,-115.64,33.47
acaciarum,-117.09,34.57
acaciarum,-114.9,33.22
acaciarum,-113.78,32.7
acaciarum,-112.21,33.21
acaciarum,-116.09,33.47
acaciarum,-118.27,29
acaciarum,-113.55,34.6
acaciarum,-116.75,35.07
acaciarum,-116.37,33.24
acaciarum,-116.44,33.53
acaciarum,-116.38,35.05
acaciarum,-112.79,31.62
acaciarum,-110.97,32.22
acaciarum,-116.15,34.11
acaciarum,-111.66,33.55
acaciarum,-115.69,33.94
acaciarum,-115.86,33.98
acaciarum,-114.83,31.03
acaciarum,-116.39,33.14
acaciarum,-114.62,35.05
acaciarum,-114.37,32.75
acaciarum,-114.32,33.08
acaciarum,-113.22,34
acaciarum,-114.14,34.29
acaciarum,-116.55,34.1
acaciarum,-112.92,34.42
acaciarum,-113.22,34.3
acaciarum,-116.03,33.15
acaciarum,-114.49,33.63
acaciarum,-116.18,33.57
acaciarum,-116.67,33.75
acaciarum,-115.68,34.99
acaciarum,-114.73,33.15
acaciarum,-114.65,33.53
acaciarum,-116.37,33.34
acaciarum,-112.95,32.17
acaciarum,-112.71,32.06
acaciarum,-114.58,34.15
acaciarum,-113.6,33.78
acaciarum,-115.77,35.53
acaciarum,-115.42,35.17
acaciarum,-114.12,34.55
acaciarum,-115.42,34.93
acaciarum,-115.97,34.84
acaciarum,-114.62,32.65
acaciarum,-114.73,33.43
acaciarum,-116.07,33.56
acaciarum,-115.38,33.35
acaciarum,-111.95,32.88
acaciarum,-112.72,32.8
acaciarum,-115.72,31.38
acaciarum,-115.55,31.33
acaciarum,-109.69,32.61
acaciarum,-110.87,32.26
acaciarum,-111.5,32.64
acaciarum,-111.57,32.98
acaciarum,-114.14,33.08
acaciarum,-114.67,35.47
acaciarum,-114.67,32.74
acaciarum,-113.8,32.23
acaciarum,-116.2,33.67
acaciarum,-117.57,33.86
acaciarum,-116.26,33.21
acaciarum,-116.06,33.75
acaciarum,-116.41,33.03
acaciarum,-116.88,36.46
acaciarum,-115.8,33.1
acaciarum,-112.93,32.05
acaciarum,-114.35,36.45
acaciarum,-116.4,33.73
acaciarum,-116.61,34.94
acaciarum,-115.98,37
acaciarum,-118.51,34.75
acaciarum,-119.25,37.31
acaciarum,-114.2,36.45
acaciarum,-114.74,29.89
acaciarum,-114.73,29.75
acaciarum,-114.97,29.93
acaciarum,-114.4,29.42
acaciarum,-114.83,32
acaciarum,-116.05,33.38
acaciarum,-116.13,31.58
acaciarum,-115.15,32.63
acaciarum,-115.25,32.42
acaciarum,-115.14,32.42
acaciarum,-115.37,30.05
acaciarum,-115.24,30.19
acaciarum,-114.8,32.55
acaciarum,-115.82,32.25
acaciarum,-115.8,32.37
acaciarum,-116.84,33.02
acaciarum,-115.58,31.95
acaciarum,-115.27,32.15
acaciarum,-116.67,33
acaciarum,-115.33,32.33
acaciarum,-115.47,31.05
acaciarum,-115.21,30.87
acaciarum,-115.62,30.08
acaciarum,-116.61,32.13
acaciarum,-115.32,33.03
acaciarum,-114.54,32.81
acaciarum,-115.48,32.65
acaciarum,-110.67,32.5
acaciarum,-116.55,33.83
acaciarum,-116.08,32.88
acaciarum,-115.14,36.17
acaciarum,-111.91,33.41
acaciarum,-111.13,33.67
acaciarum,-116.68,34.83
acaciarum,-116.07,33.95
acaciarum,-114.61,34.85
acaciarum,-114.55,34.77
acaciarum,-114.44,34.68
acaciarum,-114.41,34.54
acaciarum,-114.47,33.99
acaciarum,-114.7,33.33
acaciarum,-114.68,33.23
acaciarum,-114.5,33.01
acaciarum,-114.46,32.89
acaciarum,-97.83,22.25
acaciarum,-115.07,32.98
acaciarum,-115.5,32.38
acaciarum,-116.12,33.01
acaciarum,-117.25,32.43
acaciarum,-109.78,23.45
acaciarum,-117.29,34.54
acaciarum,-117.02,34.9
acaciarum,-112.07,33.45
acaciarum,-97.5,25.9
acaciarum,-116.54,33.13
acaciarum,-118.32,34.48
acaciarum,-122.05,37.9
acaciarum,-99.51,27.51
acaciarum,-121.91,37.49
acaciarum,-116.79,33.5
acaciarum,-117.77,33.51
acaciarum,-112.5,30.57
acaciarum,-115.5,33.06
acaciarum,-111.5,34.5
acaciarum,-99.25,31.25
