assigned,longitude,latitude
flaviceps,-112.9,27.15
flaviceps,-109,25.66
flaviceps,-109.9,27.78
flaviceps,-111.62,25.93
flaviceps,-109.87,23.56
flaviceps,-110.35,24.11
flaviceps,-112.89,27.3
flaviceps,-110.34,24.32
flaviceps,-110.8,25.63
flaviceps,-110.2,23.72
flaviceps,-111.31,25.81
flaviceps,-110.63,24.98
flaviceps,-113.42,29.25
flaviceps,-109.87,24.24
flaviceps,-109.92,22.88
flaviceps,-111.14,25.46
flaviceps,-110.03,23.31
flaviceps,-110.25,24.15
flaviceps,-109.94,27.61
flaviceps,-111.55,33.42
flaviceps,-110.72,32.3
flaviceps,-113.5,27.68
flaviceps,-108.7,26.97
flaviceps,-109.29,25.97
flaviceps,-112.38,29
flaviceps,-110.39,27.75
flaviceps,-112.28,28.78
flaviceps,-111.93,28.81
flaviceps,-111.92,25.51
flaviceps,-111.93,26.72
flaviceps,-112.5,29
flaviceps,-115.91,30.56
flaviceps,-109.43,23.37
flaviceps,-111.1,33.38
flaviceps,-115.53,30.08
flaviceps,-112.19,29.17
flaviceps,-111.98,27.43
flaviceps,-112.73,34.04
flaviceps,-112.15,28.99
flaviceps,-109.38,30.44
flaviceps,-110.85,32.29
flaviceps,-112.08,31.99
flaviceps,-113.3,28.83
flaviceps,-112.87,28.67
flaviceps,-112.63,28.67
flaviceps,-111.87,27.47
flaviceps,-111.83,26.73
flaviceps,-111.75,26.55
flaviceps,-111.12,26
flaviceps,-109.94,27.5
flaviceps,-114.83,31.02
flaviceps,-109.25,27.23
flaviceps,-115.37,30.05
flaviceps,-115.28,29.98
flaviceps,-111.82,26.06
flaviceps,-111.85,24.66
flaviceps,-116.93,32.23
flaviceps,-111.51,24.54
flaviceps,-112.22,24.91
flaviceps,-112.05,25.49
flaviceps,-111.83,24.5
flaviceps,-110.33,24.42
flaviceps,-110.6,24.83
flaviceps,-110.42,24.47
flaviceps,-115.48,32.65
flaviceps,-112.88,28.38
flaviceps,-112.63,27.67
flaviceps,-113,26.84
flaviceps,-114.25,28.72
flaviceps,-114.17,29.25
flaviceps,-114.97,29.93
flaviceps,-114.74,29.89
flaviceps,-114.73,29.75
flaviceps,-114.4,29.42
flaviceps,-112.22,27.22
flaviceps,-112.51,27.41
flaviceps,-112.7,27.28
flaviceps,-113.15,26.88
flaviceps,-105.17,27.68
flaviceps,-112.6,27.31
flaviceps,-112.85,27.45
flaviceps,-113.43,28.11
flaviceps,-99.13,23.75
flaviceps,-110.22,23.45
flaviceps,-112.24,34.53
flaviceps,-113.8,28.25
flaviceps,-111.97,34.59
flaviceps,-116.61,32.13
flaviceps,-98.83,26.3
flaviceps,-110.04,28.9
flaviceps,-116.14,33.64
flaviceps,-112.12,25.36
flaviceps,-105.34,35.66
flaviceps,-116.55,33.83
flaviceps,-116.2,33.75
flaviceps,-101.12,27.87
flaviceps,-113.05,27.6
flaviceps,-110.9,27.92
flaviceps,-110.62,29.92
flaviceps,-105.38,25.92
flaviceps,-98.49,29.42
flaviceps,-109.7,23.18
flaviceps,-109.71,23.08
flaviceps,-116.8,32.36
flaviceps,-97.48,25.93
flaviceps,-112.72,32.95
flaviceps,-111.39,33.03
flaviceps,-108.94,27.02
flaviceps,-99.25,31.25
flaviceps,-109.19,30.38
flaviceps,-122.5,38.35
flaviceps,-109.72,29.8
flaviceps,-109.3,29.85
flaviceps,-109.72,23.47
flaviceps,-114.54,32.62
flaviceps,-110.86,32.18
flaviceps,-98.33,26.16
flaviceps,-106,34.5
flaviceps,-97.45,26.15
