assigned,longitude,latitude
lamprocephalus,-109.43,23.44
lamprocephalus,-110.16,23.35
lamprocephalus,-110.1,23.55
lamprocephalus,-111.92,25.97
lamprocephalus,-114.72,29.73
lamprocephalus,-110.2,23.72
lamprocephalus,-109.87,24.24
lamprocephalus,-109.77,23.26
lamprocephalus,-109.92,22.88
lamprocephalus,-110.33,24.42
lamprocephalus,-111.34,26.01
lamprocephalus,-109.69,23.06
lamprocephalus,-111.85,24.66
lamprocephalus,-110.31,24.27
lamprocephalus,-111.93,26.72
lamprocephalus,-113.47,29.32
lamprocephalus,-109.77,23.4
lamprocephalus,-112.33,28.76
lamprocephalus,-111.14,25.46
lamprocephalus,-111.82,26.06
lamprocephalus,-101.29,27.96
lamprocephalus,-110.58,25
lamprocephalus,-117.06,32.34
lamprocephalus,-113.05,27.6
lamprocephalus,-116.8,32.36
lamprocephalus,-116.08,33.57
