assigned,longitude,latitude
ornatus,-109.4,31.48
ornatus,-108.71,32.35
ornatus,-111.16,33.28
ornatus,-111.67,33.52
ornatus,-110.86,31.49
ornatus,-103.3,21.84
ornatus,-98.68,22.64
ornatus,-99.79,20.86
ornatus,-99.61,20.61
ornatus,-99.03,28.13
ornatus,-104.54,24.83
ornatus,-99.92,21.8
ornatus,-103.73,27.95
ornatus,-99.92,20.7
ornatus,-111.91,33.28
ornatus,-103.17,29.31
ornatus,-102.94,29.21
ornatus,-103.69,30.44
ornatus,-116.45,32.43
ornatus,-111.53,31.82
ornatus,-106.56,31.91
ornatus,-105.61,26.82
ornatus,-101,25.67
ornatus,-103.8,25.27
ornatus,-103.65,25.48
ornatus,-104.95,25.62
ornatus,-105.7,25.31
ornatus,-107.48,29.88
ornatus,-112.26,34.26
ornatus,-103.83,30.39
ornatus,-104.59,30.22
ornatus,-98.14,29.57
ornatus,-110.75,31.54
ornatus,-104.28,29.48
ornatus,-104.51,29.56
ornatus,-104.34,29.56
ornatus,-109.03,31.84
ornatus,-112.07,33.45
ornatus,-101.39,24.38
ornatus,-106.33,29.46
ornatus,-97.42,28.18
ornatus,-97.29,26.14
ornatus,-110.59,32.88
ornatus,-111,32.24
ornatus,-111.1,32.29
ornatus,-99.32,31.74
ornatus,-111.9,33.51
ornatus,-109.02,31.38
ornatus,-104.7,24.05
ornatus,-104.38,23.5
ornatus,-106.74,29.82
ornatus,-113.05,32.77
ornatus,-102.14,22.23
ornatus,-100.86,28.02
ornatus,-110.67,32.22
ornatus,-106.07,28.7
ornatus,-109.28,31.34
ornatus,-102.94,29.57
ornatus,-103.35,29.29
ornatus,-98.97,27.52
ornatus,-100.45,31.43
ornatus,-100.53,31.51
ornatus,-109.94,27.61
ornatus,-111.48,32.85
ornatus,-110.72,32.05
ornatus,-102.54,29.06
ornatus,-110.72,32.3
ornatus,-98.67,29.03
ornatus,-97.57,30.11
ornatus,-102.86,23.35
ornatus,-110.32,29.44
ornatus,-99.93,20.91
ornatus,-108.07,30.6
ornatus,-111.85,30.83
ornatus,-98.69,26.38
ornatus,-99.49,27.43
ornatus,-98.27,29.47
ornatus,-111.53,31.37
ornatus,-112.07,30.65
ornatus,-110.79,32.22
ornatus,-114.42,35.18
ornatus,-110.85,30.88
ornatus,-110.97,29.07
ornatus,-112.72,29.92
ornatus,-113.5,33.67
ornatus,-112.65,32.97
ornatus,-111.18,31.43
ornatus,-111.85,33.12
ornatus,-98.15,27.22
ornatus,-100.52,28.86
ornatus,-102.56,30.14
ornatus,-104.62,31.42
ornatus,-112.95,32.17
ornatus,-106.5,31.81
ornatus,-112.79,33.88
ornatus,-97.81,26.35
ornatus,-111.37,33.34
ornatus,-111.37,33.05
ornatus,-111.37,32.87
ornatus,-99.68,25.6
