assigned,longitude,latitude
acaciarum,-111.6,33.31
acaciarum,-99.12,28.36
acaciarum,-104.32,32.32
acaciarum,-114.72,32.59
acaciarum,-110.68,32.23
acaciarum,-112.24,33.17
acaciarum,-114.95,36.03
acaciarum,-109.2,31.86
acaciarum,-110.29,23.53
acaciarum,-105.43,28.31
acaciarum,-108.06,25.47
acaciarum,-118.04,33.71
acaciarum,-111.94,33.46
acaciarum,-100.11,25.9
acaciarum,-111.72,33.26
acaciarum,-97.57,25.98
acaciarum,-115.98,33.96
acaciarum,-114.65,32.52
acaciarum,-110.11,23.81
acaciarum,-101.4,26.94
acaciarum,-111.03,25.32
acaciarum,-114.58,35.19
acaciarum,-116.04,34.13
acaciarum,-110.86,31.49
acaciarum,-101.65,22.75
acaciarum,-113.05,26.92
acaciarum,-99.8,20.68
acaciarum,-116.32,34.13
acaciarum,-113.02,31.94
acaciarum,-110.96,29.69
acaciarum,-101.12,25.08
acaciarum,-98.14,30.51
acaciarum,-111.76,34.87
acaciarum,-111.11,30.19
acaciarum,-110.23,23.45
acaciarum,-116.27,33.92
acaciarum,-112.15,34.15
acaciarum,-113.8,36.95
acaciarum,-110.43,32
acaciarum,-110.98,32.44
acaciarum,-107.62,24.59
acaciarum,-113.78,37.25
acaciarum,-115.35,32.55
acaciarum,-99.51,20.76
acaciarum,-105.49,28.18
acaciarum,-111.09,24.39
acaciarum,-113.71,37.16
acaciarum,-116.53,33.85
acaciarum,-110.21,31.89
acaciarum,-115.12,35.95
acaciarum,-107.62,32.15
acaciarum,-116.39,33.69
acaciarum,-117.24,34.35
acaciarum,-103.44,29.52
acaciarum,-98.37,29.51
acaciarum,-112.37,33.73
acaciarum,-100.29,20.61
acaciarum,-114.12,35.13
acaciarum,-106.87,34.33
acaciarum,-103.63,25.5
acaciarum,-114.64,32.43
acaciarum,-111.04,31.62
acaciarum,-110.59,28.2
acaciarum,-103.9,29.1
acaciarum,-106.51,31.93
acaciarum,-109.82,23.55
acaciarum,-111.9,34.83
acaciarum,-115.94,33.52
acaciarum,-112.27,27.34
acaciarum,-102.63,21.09
acaciarum,-98.02,26.57
acaciarum,-112.31,33.38
acaciarum,-102.12,31.96
acaciarum,-107.21,33.23
acaciarum,-112.69,33.93
acaciarum,-100.53,20.81
acaciarum,-115.55,32.97
acaciarum,-111.29,33.86
acaciarum,-115.16,36.28
acaciarum,-99.28,28.32
acaciarum,-109.53,28.46
acaciarum,-111.35,33.55
acaciarum,-112.82,33.88
acaciarum,-97.74,26.09
acaciarum,-109.09,31.79
acaciarum,-115.27,32.79
acaciarum,-110.97,31.87
acaciarum,-111.05,31.73
acaciarum,-110.78,32.99
acaciarum,-110.03,27.36
acaciarum,-111.86,34.61
acaciarum,-112.44,33.31
acaciarum,-110.8,32.19
acaciarum,-104.47,32.11
acaciarum,-106.5,31.77
acaciarum,-110.23,31.38
acaciarum,-110.97,27.96
acaciarum,-101.09,33.47
acaciarum,-111.03,32.28
acaciarum,-113.02,32.04
acaciarum,-108.81,31.72
acaciarum,-111.7,34.54
acaciarum,-108.92,31.76
acaciarum,-107.3,33.04
acaciarum,-112.78,33.27
acaciarum,-112.24,33.62
acaciarum,-110.72,32.9
acaciarum,-111.88,33.24
acaciarum,-110.58,32.88
acaciarum,-98.24,26.44
acaciarum,-102.81,21.03
acaciarum,-113.54,31.34
acaciarum,-112.85,31.94
acaciarum,-113.4,37.18
acaciarum,-110.83,32.09
acaciarum,-113.18,34.38
acaciarum,-109.47,32.79
acaciarum,-117.7,35.29
acaciarum,-112.51,33.61
acaciarum,-108.57,32.91
acaciarum,-104.15,32.38
acaciarum,-114.5,36.62
acaciarum,-116.38,33.14
acaciarum,-110.47,31.7
acaciarum,-97.76,26.3
acaciarum,-99.15,26.58
acaciarum,-112.89,32.45
acaciarum,-111.38,34.04
acaciarum,-112.95,32.31
acaciarum,-110.3,32.19
acaciarum,-111.95,33.78
acaciarum,-112.85,32.22
acaciarum,-111.51,33.73
acaciarum,-98.64,29.74
acaciarum,-111.86,33.97
acaciarum,-115.32,36.22
acaciarum,-116.3,33.34
acaciarum,-98.47,26.34
acaciarum,-106.74,32.62
acaciarum,-106.17,32.78
acaciarum,-110.75,31.54
acaciarum,-111.12,31.44
acaciarum,-110.3,31.98
acaciarum,-110.97,31.97
acaciarum,-99.67,27.66
acaciarum,-108.6,32.81
acaciarum,-111.34,34.28
acaciarum,-112.14,33.84
acaciarum,-107.25,33.12
acaciarum,-110.11,31.41
acaciarum,-115.79,32.15
acaciarum,-106.75,32.35
acaciarum,-114.66,35.87
acaciarum,-109.57,23.6
acaciarum,-112.21,33.75
acaciarum,-103.61,29.17
acaciarum,-112.16,34.04
acaciarum,-111.69,33.09
acaciarum,-114.71,36.71
acaciarum,-112.35,34.57
acaciarum,-111.27,26.12
acaciarum,-110.62,32.32
acaciarum,-116.13,34.03
acaciarum,-110.09,27.56
acaciarum,-111.79,33.58
acaciarum,-106.69,31.84
acaciarum,-99.45,26.18
acaciarum,-115.26,36.32
acaciarum,-106.92,32.49
acaciarum,-112.61,32.89
acaciarum,-110.64,31.78
acaciarum,-114.36,32.76
acaciarum,-99.52,26.06
acaciarum,-111.48,32.62
acaciarum,-98.64,29.24
acaciarum,-109.85,32.91
acaciarum,-98.26,26.1
acaciarum,-115.29,36.13
acaciarum,-113.29,37.21
acaciarum,-111.43,33.14
acaciarum,-109.18,26.47
acaciarum,-101.08,33.05
acaciarum,-101.45,25.66
acaciarum,-112.02,34.76
acaciarum,-111.54,33.57
acaciarum,-98.73,29.51
acaciarum,-109.12,31.92
acaciarum,-98.24,29.61
acaciarum,-111.35,33.4
acaciarum,-111.45,33.36
acaciarum,-110.53,33.18
acaciarum,-107.74,32.27
acaciarum,-112.67,33.5
acaciarum,-115.51,34.51
acaciarum,-107.59,32.92
acaciarum,-114.85,35.95
acaciarum,-114.07,32.74
acaciarum,-117.85,34.47
acaciarum,-109.28,31.34
acaciarum,-111.99,33.27
acaciarum,-102.4,30.14
acaciarum,-114.15,32.68
acaciarum,-110.27,31.56
acaciarum,-97.84,28.76
acaciarum,-111.59,32.68
acaciarum,-104.5,24.09
acaciarum,-114.82,36.1
acaciarum,-101.27,30.64
acaciarum,-110.96,31.36
acaciarum,-115.85,33.44
acaciarum,-112.26,32.81
acaciarum,-112.74,33.76
acaciarum,-112.98,37.21
acaciarum,-112.61,33.86
acaciarum,-111.23,33.75
acaciarum,-110.96,31.56
acaciarum,-107.92,32.59
acaciarum,-106.56,32.37
acaciarum,-99.44,27.04
acaciarum,-109.94,22.88
acaciarum,-99.31,27.08
acaciarum,-110,31.57
acaciarum,-100.16,32.14
acaciarum,-111.13,33.67
acaciarum,-103.93,30.6
acaciarum,-114.1,32.51
acaciarum,-110.79,31.8
acaciarum,-111.91,34.74
acaciarum,-110.17,31.61
acaciarum,-116.96,34.88
acaciarum,-114.02,29.15
acaciarum,-111.76,34.65
acaciarum,-104.44,24.24
acaciarum,-104.75,24.71
acaciarum,-104.9,24.91
acaciarum,-113.35,32.8
acaciarum,-109.72,31.56
acaciarum,-110.07,31.71
acaciarum,-111.71,33.47
acaciarum,-110.92,32.59
acaciarum,-112.18,33.39
acaciarum,-111.95,33.9
acaciarum,-102.9,31.58
acaciarum,-109.92,27.06
acaciarum,-112.97,32.98
acaciarum,-98.12,26.2
acaciarum,-98.62,29.57
acaciarum,-104.4,33.45
acaciarum,-104.36,30.48
acaciarum,-99.95,25.87
acaciarum,-111.34,32.23
acaciarum,-109.83,32.25
acaciarum,-107.38,32.98
acaciarum,-106.82,34.43
acaciarum,-113.51,37.12
acaciarum,-109.86,32.81
acaciarum,-116.24,32.84
acaciarum,-98.41,29.14
acaciarum,-107.18,32.68
acaciarum,-110.53,31.54
acaciarum,-109.45,28.54
acaciarum,-111.48,33.91
acaciarum,-111.72,32.52
acaciarum,-117.77,34.71
acaciarum,-117.97,34.52
acaciarum,-111.41,32.54
acaciarum,-114.74,35.97
acaciarum,-114.61,36.65
acaciarum,-106.77,34.69
acaciarum,-112.26,33.5
acaciarum,-118.2,34.46
acaciarum,-116.46,36.57
acaciarum,-106.64,31.92
acaciarum,-111.82,33.88
acaciarum,-98.37,26.17
acaciarum,-114.32,34.11
acaciarum,-115.17,36.16
acaciarum,-110.91,32.34
acaciarum,-110.38,31.55
acaciarum,-115.93,36.15
acaciarum,-109.97,33.05
acaciarum,-109.24,26.37
acaciarum,-104.43,23.42
acaciarum,-112.78,32.38
acaciarum,-111,24.07
acaciarum,-112.6,26.38
acaciarum,-110.16,23.28
acaciarum,-113.13,27.32
acaciarum,-112.48,26.24
acaciarum,-110.02,33.21
acaciarum,-103.78,29.26
acaciarum,-102.36,22
acaciarum,-99.72,29.49
acaciarum,-109.01,27.03
acaciarum,-115.04,32.28
