"name"	"longitude"	"latitude"	"subspecies"	"affinis"	"sandiegensis"	"numSubsppGroups"	"assigned"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-100.28	20.58	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-100.29	20.6	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.41	33.27	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-99.96	20.51	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-99.44	27.55	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-99.12	28.36	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-109.7	23.04	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.86	33.73	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-115.9	33.87	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-105.43	28.29	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-105.44	28.29	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.31	24.17	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-106.51	31.85	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-112.03	33.81	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.99	32.46	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.17	32.24	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-109.7	23.15	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-100.31	20.65	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.21	32.27	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-109.19	25.95	"unknown"	0	0	0	"none"
