"spp1" "spp2" "SchoenersD" "modifiedHellingersI"
"1" "affinis" "anthonyi" "0.184033630455267" "0.317797308051876"
"2" "affinis" "brunneicapillus" "0.426136253281098" "0.640621298075963"
"3" "affinis" "bryanti" "0.19258496797499" "0.388923533866458"
"4" "affinis" "guttatus" "0.343565718465078" "0.519245953160894"
"5" "affinis" "sandiegensis" "0.0429948777459945" "0.164391615588145"
"6" "affinis" "seri" "0.00746831632176137" "0.0857589228931496"
"7" "anthonyi" "brunneicapillus" "0.52941574471597" "0.694137006877672"
"8" "anthonyi" "bryanti" "0.362601655713281" "0.539693393936487"
"9" "anthonyi" "guttatus" "0.471335545783205" "0.600805600294987"
"10" "anthonyi" "sandiegensis" "0.147607500856361" "0.359731225256144"
"11" "anthonyi" "seri" "0.0165880522362872" "0.127927470122316"
"12" "brunneicapillus" "bryanti" "0.302077904409029" "0.538201323597988"
"13" "brunneicapillus" "guttatus" "0.460606654029892" "0.657041723543949"
"14" "brunneicapillus" "sandiegensis" "0.128916941475163" "0.33746758565904"
"15" "brunneicapillus" "seri" "0.00892480478240032" "0.0936947496639216"
"16" "bryanti" "guttatus" "0.511194473668047" "0.677564477101162"
"17" "bryanti" "sandiegensis" "0.393006822774263" "0.588235067799822"
"18" "bryanti" "seri" "0.0177037682468086" "0.117086363725051"
"19" "guttatus" "sandiegensis" "0.260763028100056" "0.485645645387301"
"20" "guttatus" "seri" "0.0173545416092947" "0.131065520461436"
"21" "sandiegensis" "seri" "0" "-2.22044604925031e-16"
