assigned,longitude,latitude
affinis,-110.345206,24.111281
affinis,-114.0794,28.2729
affinis,-110.1592,23.3481
affinis,-109.9423,23.6853
affinis,-111.9184,25.9742
affinis,-110.0967,23.5451
affinis,-109.865556,23.558611
affinis,-110.197491,23.842084
affinis,-109.584179,23.592817
affinis,-109.848333,23.94
affinis,-110.250553,23.950409
affinis,-113.755648,28.626866
affinis,-111.137247,25.457009
affinis,-110.311667,23.85
affinis,-113.433968,28.113548
affinis,-109.8,22.96
affinis,-111.853333,24.661667
affinis,-111.357778,25.926667
affinis,-109.77,23.256667
affinis,-115.487327,32.584328
affinis,-111.818333,26.086667
affinis,-112.066667,25.733333
affinis,-110.0837071,23.1504088
affinis,-111.9375,25.343611
affinis,-109.766667,23.4
affinis,-113.145625,26.88194
affinis,-113.550646,28.941855
affinis,-112.699608,27.281662
affinis,-109.946667,27.496667
affinis,-110,23.566667
affinis,-112.9,27.3
affinis,-113.8,28.25
affinis,-116.605,32.133333
affinis,-109.918874,23.455433
affinis,-115.568333,30.053333
affinis,-112.33,28.763333
affinis,-113.05,27.6
affinis,-113.933333,28.5
affinis,-111.939,25.81592
affinis,-109.683868,23.050453
affinis,-109.698333,23.181667
affinis,-100.46396,24.95307
affinis,-115.028915,29.66266
affinis,-119.7513,37.2502
affinis,-112.23849,27.06214
affinis,-109.4275173961,23.4381027457
affinis,-110.2407758176,23.5502462998
affinis,-110.2393111111,23.4388138889
affinis,-110.3508055556,23.5797472222
affinis,-116.5547741944,33.8546189722
affinis,-110.305,24.266666666
affinis,-111.9283333,26.72
affinis,-109.91721,22.88378
affinis,-115.6687403,31.3643194
affinis,-111.308913,25.8108828
affinis,-115.742374,30.970658
affinis,-110.250553,24.1504002
affinis,-112.2222222,27.224722
affinis,-113.227296,26.7852732
affinis,-112.587287,27.4119201
affinis,-112.097275,27.0469372
affinis,-112.8499984741,27.4500007629
affinis,-122.4166641235,37.6333351135
affinis,-112.405613,27.3369239
affinis,-116.795,32.3633333
affinis,-113.23,28.0216667
affinis,-110.875,27.9833333
affinis,-109.7152778,23.5525
affinis,-112.590618,27.6519103
affinis,-113.743978,28.7429715
affinis,-109.922215,23.8037472
affinis,-111.920593,25.5053336
affinis,-112.878958,28.3035429
affinis,-112.7783333,27.865
affinis,-110.08387,23.83374
