assigned,longitude,latitude
anthonyi,-111.169611,32.243272
anthonyi,-106.478889,35.136448
anthonyi,-103.53374,29.329896
anthonyi,-111.005607,31.829031
anthonyi,-118.335694,33.725014
anthonyi,-115.09269,35.56615
anthonyi,-116.7972,33.8979
anthonyi,-115.793,32.156
anthonyi,-114.71,30.888
anthonyi,-116.368561,33.248737
anthonyi,-102.1836379,26.8466862
anthonyi,-101.8805732,26.9766845
anthonyi,-118.985871,34.205392
anthonyi,-110.560876,32.099991
anthonyi,-111.505032,33.7603
anthonyi,-116.350313,32.975578
anthonyi,-116.102844,32.673653
anthonyi,-115.493431,33.168881
anthonyi,-113.884112,34.900008
anthonyi,-112.667303,29.916822
anthonyi,-118.436118,35.051537
anthonyi,-113.548991,31.305098
anthonyi,-110.683138,32.241742
anthonyi,-115.5525,32.786791
anthonyi,-114.834016,31.023431
anthonyi,-114.621811,35.043125
anthonyi,-115.67688,32.755571
anthonyi,-116.995811,33.798835
anthonyi,-121.696279,37.232484
anthonyi,-117.283724,34.140415
anthonyi,-110.643969,31.941472
anthonyi,-101.7392071092,21.4972368912
anthonyi,-116.0735474,33.5724258
anthonyi,-111.54395,31.4701022
anthonyi,-111.0459518,31.6125889
anthonyi,-114.5558166,32.8394676
anthonyi,-117.9588317,35.6288376
anthonyi,-110.7709579,32.6108742
anthonyi,-112.1754274,33.2933797
anthonyi,-115.4452806,32.9067985
anthonyi,-115.6241414,32.8937264
anthonyi,-110.8739776,32.2600756
anthonyi,-114.7249565,32.7208805
anthonyi,-117.304287,34.4189472
anthonyi,-118.3893585,33.9980273
anthonyi,-116.2310171,32.7127685
anthonyi,116.7972,33.8979
