assigned,longitude,latitude
brunneicapillus,-109.0521,25.6036
brunneicapillus,-108.765,26.5406
brunneicapillus,-109.527229,28.458551
brunneicapillus,-109,27.143333
brunneicapillus,-109.445,27.08
brunneicapillus,-111.5,28.383333
brunneicapillus,-110.440969,27.7735494
brunneicapillus,-111.931667,28.93
brunneicapillus,-111.916667,29.048333
brunneicapillus,-111.1112241,29.9082216
brunneicapillus,-112.116667,29.133333
brunneicapillus,-112.0955915,29.4020918
brunneicapillus,-111.935612,28.825197
brunneicapillus,-109.248333,27.225
brunneicapillus,-109.3,26.95
brunneicapillus,-112.338333,29.221667
brunneicapillus,-109.143333,26.366667
brunneicapillus,-109.966667,27.483333
brunneicapillus,-110.616667,29.916667
brunneicapillus,-110.30058,28.50022
brunneicapillus,-108.94054,27.02195
brunneicapillus,-109.18556,30.37848
brunneicapillus,-100.31323,22.46955
brunneicapillus,-110.0979842618,24.0079733347
brunneicapillus,-99.1697001373,29.2841300435
brunneicapillus,-100.993436,29.884375
brunneicapillus,-99.3710023226,31.7623850031
brunneicapillus,-110.3586666667,31.5553583333
brunneicapillus,-100.8506985381,22.2295447569
brunneicapillus,-108.9366679168,32.1833811932
brunneicapillus,-104.2024977481,30.0183238547
brunneicapillus,-104.9004283333,34.23195
brunneicapillus,-117.9452666667,33.90337
brunneicapillus,-99.8915369615,31.6225473403
brunneicapillus,-112.0264466072,26.9822769924
brunneicapillus,-103.566130319,24.2128891055
brunneicapillus,-112.8454966667,31.9958333333
brunneicapillus,-109.4901740876,31.8874032185
brunneicapillus,-110.8111866667,29.58893
brunneicapillus,-110.9104676,29.0621438
brunneicapillus,-104.329678103,32.5281233416
brunneicapillus,-99.2785919626,30.690111968
brunneicapillus,-106.009305976,33.0528376644
brunneicapillus,-106.1023525296,33.1061240524
brunneicapillus,-109.6782455278,29.82284925
brunneicapillus,-111.255875,32.2482983333
brunneicapillus,-111.1316317997,32.5887124997
brunneicapillus,-101.6401704373,22.5791076028
brunneicapillus,-101.7513328162,22.6026327121
brunneicapillus,-98.990145998,19.7156393459
brunneicapillus,-103.3141606851,25.453572277
brunneicapillus,-117.0739198198,32.7926444169
brunneicapillus,-105.5719744,28.59553285
brunneicapillus,-103.6776404056,22.3341149637
brunneicapillus,-102.5952766836,28.7173146661
brunneicapillus,-110.5897546,28.1885456
brunneicapillus,-108.6145938,26.417632
brunneicapillus,-115.2197612822,34.8105688826
brunneicapillus,-100.2746877819,20.3736711759
brunneicapillus,-111.683973209,33.2891992524
brunneicapillus,-98.6168231873,27.8971905184
brunneicapillus,-114.8401068625,27.7279715022
brunneicapillus,-115.4449094493,36.1907988903
brunneicapillus,-117.5632043946,33.392465906
brunneicapillus,-116.5710626454,34.0549194551
brunneicapillus,-118.8793483158,34.2329840794
brunneicapillus,-112.47757,26.243655
brunneicapillus,-114.0637944824,27.953608493
brunneicapillus,-101.1038973927,22.9754060248
brunneicapillus,-117.9444777834,34.1179311762
brunneicapillus,-106.4552879,34.9572215
brunneicapillus,-98.2151042894,27.6807415993
brunneicapillus,-104.1930917278,30.7493953743
brunneicapillus,-112.3682767,32.6804004
brunneicapillus,-104.1527027308,30.9348076753
brunneicapillus,-99.9669354782,20.3867854957
brunneicapillus,-101.754787,22.733348
brunneicapillus,-100.6599109992,20.7816460148
brunneicapillus,-103.9914471,29.4771863
brunneicapillus,-99.5796183159,27.7334764532
brunneicapillus,-101.8332801631,21.7611105934
brunneicapillus,-106.10399,34.418415
brunneicapillus,-110.7723048696,32.6092739677
brunneicapillus,-114.1525329086,32.6440971642
brunneicapillus,-108.1231166667,32.2251916667
brunneicapillus,-113.454745,27.7243233997
brunneicapillus,-111.8660021401,33.9350557183
brunneicapillus,-111.2540533333,32.00505
brunneicapillus,-117.382548555,34.552058183
brunneicapillus,-117.322274,33.340084
brunneicapillus,-117.0170375997,32.5820158
brunneicapillus,-101.1178073287,20.2296164229
brunneicapillus,-98.3574274473,28.4606276391
brunneicapillus,-100.1451176405,20.1885967123
brunneicapillus,-110.1723918502,23.329809891
brunneicapillus,-115.7866814072,33.8743899042
brunneicapillus,-104.6502,24.51916
brunneicapillus,-104.6907936356,24.022615077
brunneicapillus,-112.0740373,33.4483771
brunneicapillus,-105.1943300675,27.7517085295
brunneicapillus,-103.7677897008,25.2640747559
brunneicapillus,-103.1870769337,25.6090485838
