assigned,longitude,latitude
bryanti,-115.774444,32.605556
bryanti,-116.658333,31.715
bryanti,-119.7513,37.2502
bryanti,-116.168333,30.961667
bryanti,-115.789927,30.253612
bryanti,-109.855,24.235
bryanti,-116.957638,32.508759
bryanti,-115.966667,30.453333
bryanti,-115.623333,30.075
bryanti,-115.36736,30.050134
bryanti,-114.736667,29.888333
bryanti,-114.733333,29.75
bryanti,-114.250658,28.71686
bryanti,-114.967351,29.93347
bryanti,-114.16566,29.24684
bryanti,-115.267354,29.516824
bryanti,-115.840516,30.370847
bryanti,-115.485,30.041667
bryanti,-97.506344,26.126575
bryanti,-116.605,32.133333
bryanti,-101.488779,24.765536
bryanti,-116.048333,30.96
bryanti,-100.538188,30.498293
bryanti,-109.69,23.055
bryanti,-117.097,32.666
bryanti,-122.407505,40.4437637
bryanti,-115.7333333,30.05
bryanti,-115.267355,29.6318198
bryanti,-115.340692,30.4567887
bryanti,-116.167392,32.1333853
bryanti,-115.865704,30.5601121
bryanti,-118.1436,34.1478
bryanti,-117.3953,33.9533
bryanti,-110.9258,32.2217
bryanti,-111.0833,32.2667
bryanti,-113.3,28.8333333
bryanti,-98.8333333,26.3
bryanti,-110.8333,32.7333
