assigned,longitude,latitude
guttatus,-110.75383,31.547167
guttatus,-103.075786,21.632111
guttatus,-99.787117,20.861033
guttatus,-99.807167,20.671833
guttatus,-99.608333,20.606667
guttatus,-99.973333,21.87
guttatus,-102.283333,21.883333
guttatus,-99.94,20.74
guttatus,-101.046667,20.22
guttatus,-104.37561,23.547622
guttatus,-103.647222,25.478611
guttatus,-99.891667,20.475
guttatus,-96.193588,16.969909
guttatus,-116.45,32.431179
guttatus,-104.952119,25.620354
guttatus,-99.739133,21.0315
guttatus,-105.335455,25.058706
guttatus,-101.388699,24.377087
guttatus,-102.588713,20.303934
guttatus,-103.635,25.285
guttatus,-104.7,24.048889
guttatus,-102.126667,22.22
guttatus,-100.631667,23.793333
guttatus,-103.340399,20.430596
guttatus,-100.285968,20.5880607
guttatus,-101.25,20.755
guttatus,-99.293333,20.485
guttatus,-101.431667,20.67
guttatus,-103.772092,25.100379
guttatus,-100.052011,24.667078
guttatus,-102.9333,23.5
guttatus,-111.387382,33.03146
guttatus,-105.333333,27.566667
guttatus,-105.0287273,27.5431414
guttatus,-102.508333,22.726667
guttatus,-101.7894509,21.2123053
guttatus,-99.773522,20.236471
guttatus,-99.4404,27.071748
guttatus,-99.171667,20.503333
guttatus,-99.138333,20.29
guttatus,-99.5,20.209074
guttatus,-116.083336,33.566666
guttatus,-103.25,30.200001
guttatus,-97.48333,26.066668
guttatus,-103.153,29.173
guttatus,-97.5,25.9
guttatus,-111.095604,30.558466
guttatus,-98.63522,24.93258
guttatus,-109.37426,32.244186
guttatus,-101.01703,23.51713
guttatus,-99.073333,21.331667
guttatus,-100.97,22.113333
guttatus,-99.75,23.573333
guttatus,-109.316666,31.516666
guttatus,-110.933334,32.216667
guttatus,-96.97667,30.85306
guttatus,-118.433334,34.266666
guttatus,-103.1835,20.28344
guttatus,-110.96669,29.0835
guttatus,-105.6386853,26.8790563
guttatus,-101.2253814727,22.32972
guttatus,-101.34778,20.7603688366
guttatus,-117.7212524,34.1118046
guttatus,-103.7164832,30.7421274
guttatus,-106.2202835,26.6517546
guttatus,-110.2945174,31.9678611
guttatus,-103.57687,30.4859591
guttatus,-100.311294,22.865079
guttatus,-103.65208,23.61211
guttatus,-100.03616,21.44777
guttatus,-102.2287,21.29055
guttatus,-101.0002778,25.6669444
guttatus,-101.197025,20.4356004
guttatus,-105.38379,25.9170095
guttatus,-100.067004,21.8005373
guttatus,-101.11536,23.1304735
guttatus,-102.2583333,22.025556
guttatus,-100.117032,20.6505921
guttatus,-99.3836532,23.4071347
guttatus,-109.0333328247,32.0499992371
guttatus,-98.0833358765,29.0666675568
guttatus,-115.4833297729,32.6666679382
guttatus,-110.5,31.5833339691
guttatus,-109.2166671753,31.9333324432
guttatus,-110.6666641235,32.5
guttatus,-101.5337,24.6954
guttatus,-100.7002778,22.4322222
guttatus,-109.2333333333,32.2666666667
guttatus,-109.378347,30.4376482
guttatus,-109.0666656494,31.9166660309
