assigned,longitude,latitude
sandiegensis,-117.606906,33.547681
sandiegensis,-116.989824,32.70452
sandiegensis,-115.6146,31.3487
sandiegensis,-117.639519,33.667622
sandiegensis,-117.845543,33.64063
sandiegensis,-118.401504,33.743048
sandiegensis,-117.031345,32.807188
sandiegensis,-116.361387,35.544987
sandiegensis,-116.75,32.368333
sandiegensis,-117.140007,32.777461
sandiegensis,-116.717406,32.475041
sandiegensis,-117.09463,32.668782
sandiegensis,-116.990463,32.905791
sandiegensis,-117.9446928767,33.9027151292
sandiegensis,-117.0173776997,32.582118
sandiegensis,-116.9748833333,33.0918195
sandiegensis,-116.8396694751,32.4979875502
sandiegensis,-116.5978137157,31.8395525797
sandiegensis,-117.1239087192,32.5604372932
sandiegensis,-117.9458108362,34.1186524746
sandiegensis,-116.8858416667,32.85343
sandiegensis,-117.558059469,33.3921611728
sandiegensis,-116.7129248828,31.7359415813
sandiegensis,-118.0047216164,34.0006754906
sandiegensis,-118.2061455614,33.7550573676
sandiegensis,-117.1140909489,33.0691603386
sandiegensis,-115.717377,31.3834136
