assigned,longitude,latitude
affinis,-114.0794,28.2729
affinis,-110.1592,23.3481
affinis,-109.9423,23.6853
affinis,-111.9184,25.9742
affinis,-110.0967,23.5451
affinis,-109.865556,23.558611
affinis,-110.339446,24.317892
affinis,-109.83221,22.932128
affinis,-109.584179,23.592817
affinis,-110.250553,23.950409
affinis,-113.755648,28.626866
affinis,-112.878958,28.303543
affinis,-113.433968,28.113548
affinis,-113.743978,28.742972
affinis,-111.92,25.505
affinis,-109.77054,23.257113
affinis,-111.853918,24.662041
affinis,-112.586667,27.411667
affinis,-109.433864,23.369609
affinis,-109.917212,22.88379
affinis,-115.487327,32.584328
affinis,-113.23,28.021667
affinis,-111.818333,26.086667
affinis,-112.116667,25.733333
affinis,-111.9375,25.343611
affinis,-110.083333,23.833333
affinis,-109.766667,23.4
affinis,-112.405613,27.336924
affinis,-109.7156458,23.5528929
affinis,-113.227296,26.785273
affinis,-113.145625,26.88194
affinis,-122.416664,37.633335
affinis,-113.550646,28.941855
affinis,-112.699608,27.281662
affinis,-110,23.566667
affinis,-112.9,27.3
affinis,-116.605,32.133333
affinis,-109.918874,23.455433
affinis,-115.568333,30.053333
affinis,-112.33,28.763333
affinis,-110.25055,24.1504
affinis,-113.05,27.6
affinis,-113.933333,28.5
affinis,-111.939,25.81592
affinis,-116.795,32.363333
affinis,-109.717209,23.150448
affinis,-100.46396,24.95307
affinis,-115.74237,30.97066
affinis,-115.028915,29.66266
affinis,-119.7513,37.2502
affinis,-112.23849,27.06214
affinis,-110.2407758176,23.5502462998
affinis,-110.3476086783,24.1108982133
affinis,-110.3508055556,23.5797472222
affinis,-110.238974,23.438946
affinis,-116.5544861667,33.8548156944
affinis,-110.083333,23.15
affinis,-111.9283333,26.72
affinis,-110.19749,23.84208
affinis,-115.6687403,31.3643194
affinis,-111.308913,25.8108828
affinis,-111.137247,25.4570088
affinis,-113.8058333,28.264167
affinis,-110.3116667,23.85
affinis,-112.097275,27.0469372
affinis,-109.683868,23.0504528
affinis,-112.8499984741,27.4500007629
affinis,-110.875,27.9833333
affinis,-109.84887,23.94041
affinis,-111.3494444,26.001667
affinis,-112.590618,27.6519103
affinis,-109.922215,23.8037472
affinis,-112.172277,27.1702618
affinis,-109.9466667,27.4966667
affinis,-112.7783333,27.865
