assigned,longitude,latitude
brunneicapillus,-108.765,26.5406
brunneicapillus,-109.527229,28.458551
brunneicapillus,-109,27.143333
brunneicapillus,-108.033842,25.133694
brunneicapillus,-109.935556,27.606944
brunneicapillus,-108.7,26.966667
brunneicapillus,-109.445,27.08
brunneicapillus,-109.835,27.743333
brunneicapillus,-111.5,28.383333
brunneicapillus,-111.931667,28.93
brunneicapillus,-111.916667,29.048333
brunneicapillus,-111.105,29.901667
brunneicapillus,-112.0955915,29.4020918
brunneicapillus,-112.1912971,29.1675375
brunneicapillus,-109.3,26.95
brunneicapillus,-112.338333,29.221667
brunneicapillus,-110.875585,27.983564
brunneicapillus,-109.716667,28.583333
brunneicapillus,-110.61725,28.75021
brunneicapillus,-112.500634,30.566799
brunneicapillus,-100.31323,22.46955
brunneicapillus,-110.0979842618,24.0079733347
brunneicapillus,-99.1697001373,29.2841300435
brunneicapillus,-100.993436,29.884375
brunneicapillus,-99.3710023226,31.7623850031
brunneicapillus,-110.3586666667,31.5553583333
brunneicapillus,-118.8760812,34.2597595
brunneicapillus,-108.9366679168,32.1833811932
brunneicapillus,-104.2024977481,30.0183238547
brunneicapillus,-99.8915369615,31.6225473403
brunneicapillus,-103.5659340521,24.2134665679
brunneicapillus,-104.3032532,29.8201733
brunneicapillus,-110.7818075913,31.7990193512
brunneicapillus,-112.8454966667,31.9958333333
brunneicapillus,-110.8111866667,29.58893
brunneicapillus,-104.329678103,32.5281233416
brunneicapillus,-99.2785919626,30.690111968
brunneicapillus,-106.009305976,33.0528376644
brunneicapillus,-106.1023525296,33.1061240524
brunneicapillus,-110.9286980777,31.6760402299
brunneicapillus,-109.6782455278,29.82284925
brunneicapillus,-112.9719804839,34.1149330335
brunneicapillus,-112.0385299623,26.9695883678
brunneicapillus,-101.7377035546,22.6074890156
brunneicapillus,-103.3141606851,25.453572277
brunneicapillus,-99.6430879086,20.3779292799
brunneicapillus,-105.5719744,28.59553285
brunneicapillus,-111.0240718274,33.3035475764
brunneicapillus,-102.5952766836,28.7173146661
brunneicapillus,-110.5897546,28.1885456
brunneicapillus,-108.6145938,26.417632
