assigned,longitude,latitude
bryanti,-115.774444,32.605556
bryanti,-116.658333,31.715
bryanti,-119.7513,37.2502
bryanti,-116.168333,30.961667
bryanti,-115.789927,30.253612
bryanti,-109.855,24.235
bryanti,-116.957638,32.508759
bryanti,-115.733333,30.05
bryanti,-115.966667,30.453333
bryanti,-115.366667,30.05
bryanti,-115.623333,30.075
bryanti,-114.966667,29.933333
bryanti,-114.733333,29.75
bryanti,-114.737346,29.888473
bryanti,-114.16566,29.24684
bryanti,-115.840516,30.370847
bryanti,-115.485692,30.041803
bryanti,-116.605,32.133333
bryanti,-115.825,30.566667
bryanti,-116.167392,32.133385
bryanti,-101.488779,24.765536
bryanti,-116.04904,30.960097
bryanti,-100.538188,30.498293
bryanti,-109.69,23.055
bryanti,-97.5063441,26.1265753
bryanti,-117.097,32.666
bryanti,-122.407505,40.4437637
bryanti,-114.250658,28.7168601
bryanti,-115.267355,29.6318198
bryanti,-115.340692,30.4567887
bryanti,-118.1436,34.1478
bryanti,-117.3953,33.9533
bryanti,-110.9258,32.2217
bryanti,-111.0833,32.2667
bryanti,-115.267354,29.5168242
bryanti,-113.3,28.8333333
bryanti,-98.8333333,26.3
bryanti,-110.8333,32.7333
