assigned,longitude,latitude
guttatus,-103.075786,21.632111
guttatus,-99.787117,20.861033
guttatus,-99.807167,20.671833
guttatus,-99.608333,20.606667
guttatus,-99.973333,21.87
guttatus,-99.94,20.74
guttatus,-101.046667,20.22
guttatus,-104.37561,23.547622
guttatus,-103.647222,25.478611
guttatus,-99.891667,20.475
guttatus,-96.193588,16.969909
guttatus,-116.45,32.431179
guttatus,-104.952119,25.620354
guttatus,-106.220283,26.651755
guttatus,-99.739133,21.0315
guttatus,-101.388699,24.377087
guttatus,-102.588611,20.303889
guttatus,-100.117032,20.650592
guttatus,-103.635,25.285
guttatus,-104.7,24.048889
guttatus,-101.533703,24.695403
guttatus,-102.117222,22.225556
guttatus,-100.643766,23.7914941
guttatus,-103.340399,20.430596
guttatus,-102.228708,21.290557
guttatus,-100.285968,20.5880607
guttatus,-101.25,20.755
guttatus,-99.293333,20.485
guttatus,-100.052011,24.667078
guttatus,-102.9333,23.5
guttatus,-105.333333,27.566667
guttatus,-105.0287273,27.5431414
guttatus,-101.44,20.73
guttatus,-100.036163,21.447774
guttatus,-102.508333,22.726667
guttatus,-101.773333,21.213333
guttatus,-103.652085,23.612115
guttatus,-101.197025,20.4356
guttatus,-99.383653,23.407135
guttatus,-99.171667,20.503333
guttatus,-99.138333,20.29
guttatus,-99.5,20.209074
guttatus,-101.225545,22.3301996
guttatus,-116.083336,33.566666
guttatus,-103.25,30.200001
guttatus,-103.57687,30.485959
guttatus,-109.378347,30.437648
guttatus,-103.153,29.173
guttatus,-97.5,25.9
guttatus,-111.095604,30.558466
guttatus,-100.067,21.80054
guttatus,-98.63522,24.93258
guttatus,-109.233333,32.266667
guttatus,-109.37426,32.244186
guttatus,-101.11536,23.13047
guttatus,-99.073333,21.331667
guttatus,-100.97,22.113333
guttatus,-99.75,23.573333
guttatus,-110.5,31.583334
guttatus,-110.933334,32.216667
guttatus,-117.721252,34.111805
guttatus,-96.97667,30.85306
guttatus,-105.38379,25.91701
guttatus,-103.1835,20.28344
guttatus,-102.2833,21.8833
guttatus,-110.96669,29.0835
guttatus,-100.31129,22.86508
guttatus,-105.6386853,26.8790563
guttatus,-99.7735216,20.2364713
guttatus,-99.4404,27.0717484
guttatus,-101.34778,20.7603688366
guttatus,-103.7164832,30.7421274
guttatus,-111.3873825,33.0314598
guttatus,-110.2945174,31.9678611
guttatus,-101.0002778,25.6669444
guttatus,-101.017029,23.5171262
guttatus,-102.2583333,22.025556
guttatus,-110.7538299561,31.5471668243
guttatus,-109.0333328247,32.0499992371
guttatus,-98.0833358765,29.0666675568
guttatus,-115.4833297729,32.6666679382
guttatus,-109.2166671753,31.9333324432
guttatus,-110.6666641235,32.5
guttatus,-109.0999984741,31.9166660309
guttatus,-103.77209,25.10037
guttatus,-105.33545,25.0587
guttatus,-100.7002778,22.4322222
guttatus,-118.4333343506,34.2666664124
guttatus,-109.3166656494,31.5166664124
guttatus,-97.4833297729,26.0666675568
