assigned,longitude,latitude
sandiegensis,-116.597814,31.839553
sandiegensis,-117.606906,33.547681
sandiegensis,-117.945811,34.118652
sandiegensis,-116.989824,32.70452
sandiegensis,-115.6146,31.3487
sandiegensis,-117.123353,32.560465
sandiegensis,-117.639519,33.667622
sandiegensis,-116.712925,31.735942
sandiegensis,-116.963242,33.093807
sandiegensis,-116.361387,35.544987
sandiegensis,-116.75,32.368333
sandiegensis,-116.717406,32.475041
sandiegensis,-117.09463,32.668782
sandiegensis,-117.0173776997,32.582118
sandiegensis,-117.0896528333,33.0579528333
sandiegensis,-116.8396694751,32.4979875502
sandiegensis,-117.8457293692,33.6397916077
sandiegensis,-117.9517885629,33.9002708501
sandiegensis,-116.8965194444,32.8460305556
sandiegensis,-117.558059469,33.3921611728
sandiegensis,-118.0047216164,34.0006754906
sandiegensis,-118.406875,33.7443766667
sandiegensis,-118.2061455614,33.7550573676
sandiegensis,-115.717377,31.3834136
sandiegensis,-117.0313454,32.8071876
sandiegensis,-116.9904629,32.9057913
sandiegensis,-117.140007,32.7774606
