"name"	"longitude"	"latitude"	"subspecies"	"affinis"	"sandiegensis"	"numSubsppGroups"	"assigned"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-115.46	32.59	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-115.45	32.57	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.45	33.01	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.46	33.04	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus sandiegensis Rea, 1986"	-116.6	31.84	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.1	32.64	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus sandiegensis Rea, 1986"	-117.02	32.64	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-115.47	32.59	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-117	32.69	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-115.79	32.15	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-117	32.68	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.41	32.97	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.44	33.01	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.4	33.01	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-117.11	33	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.46	33.02	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.66	31.88	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-117.06	32.74	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.1	32.67	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.08	32.68	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-117.02	32.64	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.45	32.97	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-115.55	32.97	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-117.05	32.76	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus sandiegensis Rea, 1986"	-116.9	32.87	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.38	33.01	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.72	31.72	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.35	33.01	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.89	32.86	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-115.51	32.98	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-117.08	32.79	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.98	32.69	"unknown"	0	1	1	"sandiegensis"
