"name"	"longitude"	"latitude"	"subspecies"	"affinis"	"brunneicapillus"	"anthonyi"	"bryanti"	"guttatus"	"sandiegensis"	"numSubsppGroups"	"assigned"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-99.44	27.55	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-99.12	28.36	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-109.7	23.04	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.86	33.73	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-105.43	28.29	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-105.44	28.29	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-106.51	31.85	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-112.03	33.81	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-109.7	23.15	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-109.19	25.95	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.26	35	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-106.46	31.85	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-118.18	34.73	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-103.66	30.36	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-108.21	31.82	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-109.36	26	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-105.43	28.32	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.8	33.75	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.8	33.77	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-109.71	23.04	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.94	33.45	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.94	33.46	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus affinis Xantus de Vesey, 1860"	-110.29	23.54	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus affinis Xantus de Vesey, 1860"	-110.35	23.58	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-112.82	31.88	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.61	33.46	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.93	33.42	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-103.21	29.33	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.82	33.38	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-105.42	28.32	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.54	33.44	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-118.2	34.67	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-98.33	26.19	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.88	33.51	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.24	23.44	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-99.49	24.93	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.95	33.22	"unknown"	0	0	0	0	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.64	33.17	"unknown"	0	0	0	0	0	0	0	"none"
