"spp1" "spp2" "SchoenersD" "modifiedHellingersI"
"1" "affinis" "anthonyi" "0.192318789450185" "0.321531078017319"
"2" "affinis" "brunneicapillus" "0.425690395343463" "0.664486062755964"
"3" "affinis" "bryanti" "0.209694858577618" "0.39039018354964"
"4" "affinis" "guttatus" "0.327059343246464" "0.492805679362814"
"5" "affinis" "sandiegensis" "0.0582678197536233" "0.207826738169019"
"6" "affinis" "seri" "0.00844829192332097" "0.0910287381764971"
"7" "anthonyi" "brunneicapillus" "0.243375701001154" "0.300873069225319"
"8" "anthonyi" "bryanti" "0.338421667480654" "0.528931115553513"
"9" "anthonyi" "guttatus" "0.38018493152334" "0.49471568841677"
"10" "anthonyi" "sandiegensis" "0.151575306849492" "0.355628949184541"
"11" "anthonyi" "seri" "0.0199360198762708" "0.13975784992493"
"12" "brunneicapillus" "bryanti" "0.2115737784836" "0.314135789732976"
"13" "brunneicapillus" "guttatus" "0.215737339855713" "0.301792291005038"
"14" "brunneicapillus" "sandiegensis" "0.0412130070863803" "0.151087265846449"
"15" "brunneicapillus" "seri" "0.0313484231415823" "0.175427527995263"
"16" "bryanti" "guttatus" "0.464703652116087" "0.658192188080957"
"17" "bryanti" "sandiegensis" "0.567410682127562" "0.720914178474838"
"18" "bryanti" "seri" "0.0108740928313227" "0.0756094115868268"
"19" "guttatus" "sandiegensis" "0.26321478517967" "0.48199078252195"
"20" "guttatus" "seri" "0.0123091657824155" "0.109803080649759"
"21" "sandiegensis" "seri" "0" "-2.22044604925031e-16"
