assigned,longitude,latitude
affinis,-110.350806,23.579747
affinis,-114.0794,28.2729
affinis,-112.8875,27.3015
affinis,-109.7196,23.4798
affinis,-110.1592,23.3481
affinis,-109.9423,23.6853
affinis,-110.0967,23.5451
affinis,-109.866667,23.398333
affinis,-109.865556,23.558611
affinis,-110.197491,23.842084
affinis,-109.584179,23.592817
affinis,-111.308913,25.810883
affinis,-109.848333,23.94
affinis,-113.755648,28.626866
affinis,-111.137247,25.457009
affinis,-110.311667,23.85
affinis,-112.878958,28.303543
affinis,-113.433968,28.113548
affinis,-109.921667,23.803333
affinis,-113.743333,28.742778
affinis,-109.800539,22.960457
affinis,-111.92,25.505
affinis,-109.443333,23.386667
affinis,-112.587287,27.41192
affinis,-115.487327,32.584328
affinis,-112.066667,25.733333
affinis,-111.8125,26.0625
affinis,-110.0837071,23.1504088
affinis,-111.9375,25.343611
affinis,-112.405613,27.336924
affinis,-112.585618,27.65024
affinis,-113.226667,26.785
affinis,-113.145625,26.88194
affinis,-112.849998,27.450001
affinis,-112.699608,27.281662
affinis,-112.097275,27.046937
affinis,-110.2237118,23.4420625
affinis,-110,23.566667
affinis,-112.245,27.22
affinis,-116.605,32.133333
affinis,-109.690538,23.055453
affinis,-112.33,28.763333
affinis,-110.25055,24.1504
affinis,-109.76721,23.40044
affinis,-113.05,27.6
affinis,-113.933333,28.5
affinis,-111.939,25.81592
affinis,-116.795,32.363333
affinis,-100.46396,24.95307
affinis,-110.083879,23.833745
affinis,-115.028915,29.66266
affinis,-109.9167,22.8833
affinis,-119.7513,37.2502
affinis,-112.23849,27.06214
affinis,-110.2407758176,23.5502462998
affinis,-116.5547741944,33.8546189722
affinis,-110.305,24.266666666
affinis,-109.69886,23.18211
affinis,-110.25055,23.9504
affinis,-115.6687403,31.3643194
affinis,-115.742374,30.970658
affinis,-113.8058333,28.264167
affinis,-111.853918,24.6620411
affinis,-111.92893,26.7202816
affinis,-113.550646,28.9418548
affinis,-122.4166641235,37.6333351135
affinis,-113.23,28.0216667
affinis,-110.875,27.9833333
affinis,-110.30055,24.0454
affinis,-111.3494444,26.001667
affinis,-109.77054,23.2571128
affinis,-109.9466667,27.4966667
affinis,-115.5333333,30.0833333
affinis,-112.7783333,27.865
