assigned,longitude,latitude
anthonyi,-111.169611,32.243272
anthonyi,-106.478889,35.136448
anthonyi,-111.005607,31.829031
anthonyi,-118.335456,33.725339
anthonyi,-115.09269,35.56615
anthonyi,-116.79332,33.89714
anthonyi,-115.793,32.156
anthonyi,-114.71,30.888
anthonyi,-102.1836379,26.8466862
anthonyi,-101.8805732,26.9766845
anthonyi,-118.985871,34.205392
anthonyi,-115.445281,32.906799
anthonyi,-110.560876,32.099991
anthonyi,-111.505032,33.7603
anthonyi,-116.350313,32.975578
anthonyi,-110.92583,32.22167
anthonyi,-116.102844,32.673653
anthonyi,-115.493431,33.168881
anthonyi,-113.884112,34.900008
anthonyi,-112.667303,29.916822
anthonyi,-118.436118,35.051537
anthonyi,-115.5525,32.786791
anthonyi,-111.045952,31.612589
anthonyi,-118.389358,33.998027
anthonyi,-114.834016,31.023431
anthonyi,-117.304287,34.418947
anthonyi,-114.621811,35.043125
anthonyi,-115.67688,32.755571
anthonyi,-121.696279,37.232484
anthonyi,-103.5337403895,29.329895946
anthonyi,-101.7392071092,21.4972368912
anthonyi,-116.0735474,33.5724258
anthonyi,-111.54395,31.4701022
anthonyi,-117.2837239,34.1404145
anthonyi,-110.6439695,31.9414719
anthonyi,-110.6831378,32.2417421
anthonyi,-117.9588317,35.6288376
anthonyi,-113.548991,31.3050979
anthonyi,-110.7709579,32.6108742
anthonyi,-114.5911788,32.7803472
anthonyi,-112.1754274,33.2933797
anthonyi,-115.6241414,32.8937264
anthonyi,-116.3685608,33.2487373
anthonyi,-116.9958114,33.7988352
anthonyi,-114.7249565,32.7208805
anthonyi,-116.2310171,32.7127685
anthonyi,116.7972,33.8979
