assigned,longitude,latitude
brunneicapillus,-108.765,26.5406
brunneicapillus,-109,27.143333
brunneicapillus,-109.935556,27.606944
brunneicapillus,-109.445,27.08
brunneicapillus,-109.835,27.743333
brunneicapillus,-108.583333,26.95
brunneicapillus,-111.5,28.383333
brunneicapillus,-110.386667,27.748333
brunneicapillus,-111.931667,28.93
brunneicapillus,-111.916667,29.048333
brunneicapillus,-111.1112241,29.9082216
brunneicapillus,-112.116667,29.133333
brunneicapillus,-112.225,29.21
brunneicapillus,-109.248333,27.225
brunneicapillus,-109.3,26.95
brunneicapillus,-110.875,27.983333
brunneicapillus,-109.716667,28.583333
brunneicapillus,-109.966667,27.483333
brunneicapillus,-109.932231,27.168601
brunneicapillus,-110.616667,29.916667
brunneicapillus,-110.616667,28.75
brunneicapillus,-109.18556,30.37848
brunneicapillus,-100.31323,22.46955
brunneicapillus,-100.993436,29.884375
brunneicapillus,-99.3710023226,31.7623850031
brunneicapillus,-110.3657370436,31.8406712164
brunneicapillus,-100.8506985381,22.2295447569
brunneicapillus,-104.2024977481,30.0183238547
brunneicapillus,-104.9004283333,34.23195
brunneicapillus,-99.8915369615,31.6225473403
brunneicapillus,-103.5620960436,24.2183416413
brunneicapillus,-104.3032532,29.8201733
brunneicapillus,-103.9978877286,30.6156830231
brunneicapillus,-110.8102591414,32.6073664462
brunneicapillus,-109.4901740876,31.8874032185
brunneicapillus,-116.2183133333,33.7145166667
brunneicapillus,-110.8111866667,29.58893
brunneicapillus,-104.329678103,32.5281233416
brunneicapillus,-99.2785919626,30.690111968
brunneicapillus,-110.7818604764,31.7990729838
brunneicapillus,-106.009305976,33.0528376644
brunneicapillus,-106.1023525296,33.1061240524
brunneicapillus,-100.0779316574,20.4103936132
brunneicapillus,-116.424125,33.7401083333
brunneicapillus,-112.0385299623,26.9695883678
brunneicapillus,-101.7513328162,22.6026327121
brunneicapillus,-99.6430879086,20.3779292799
brunneicapillus,-105.5719744,28.59553285
brunneicapillus,-111.0240718274,33.3035475764
brunneicapillus,-102.5952766836,28.7173146661
brunneicapillus,-110.5897546,28.1885456
brunneicapillus,-108.6145938,26.417632
brunneicapillus,-115.2197612822,34.8105688826
brunneicapillus,-98.6168231873,27.8971905184
brunneicapillus,-115.4449094493,36.1907988903
brunneicapillus,-109.7051466667,32.5826083333
brunneicapillus,-112.47757,26.243655
brunneicapillus,-114.0637944824,27.953608493
brunneicapillus,-101.1038973927,22.9754060248
brunneicapillus,-117.9444777834,34.1179311762
brunneicapillus,-110.6313666667,32.6061666667
brunneicapillus,-106.4552879,34.9572215
brunneicapillus,-98.2151042894,27.6807415993
brunneicapillus,-100.6091206893,20.2523693718
brunneicapillus,-112.3682767,32.6804004
brunneicapillus,-104.8540373147,31.0384341824
brunneicapillus,-117.6193055003,34.4114939405
brunneicapillus,-101.754787,22.733348
brunneicapillus,-100.6599109992,20.7816460148
brunneicapillus,-103.9914471,29.4771863
brunneicapillus,-99.5796183159,27.7334764532
brunneicapillus,-100.2310603619,31.5573676949
brunneicapillus,-101.8332801631,21.7611105934
brunneicapillus,-106.10399,34.418415
brunneicapillus,-114.1525329086,32.6440971642
brunneicapillus,-103.3031466667,29.2776733333
brunneicapillus,-113.454745,27.7243233997
brunneicapillus,-116.25184,32.660674
brunneicapillus,-111.8660021401,33.9350557183
brunneicapillus,-111.2540533333,32.00505
brunneicapillus,-103.2534484314,30.2081922975
brunneicapillus,-103.2405583333,20.6375361111
brunneicapillus,-117.382548555,34.552058183
brunneicapillus,-117.322274,33.340084
brunneicapillus,-100.4648353374,25.6186969126
brunneicapillus,-117.0170375997,32.5820158
brunneicapillus,-101.1178073287,20.2296164229
brunneicapillus,-98.3574274473,28.4606276391
brunneicapillus,-100.1451176405,20.1885967123
brunneicapillus,-115.7866814072,33.8743899042
brunneicapillus,-103.1782827337,25.6076466321
brunneicapillus,-104.6502,24.51916
brunneicapillus,-103.75027,25.3994
brunneicapillus,-104.3749174872,23.477870469
brunneicapillus,-103.7677897008,25.2640747559
brunneicapillus,-117.7734500902,33.6188490945
brunneicapillus,-110.940368461,32.3552348737
brunneicapillus,-110.2407758176,23.5502462998
brunneicapillus,-108.9717967808,26.2997836788
brunneicapillus,-101.5865414302,23.0205781405
brunneicapillus,-108.7963452669,25.4820321446
