assigned,longitude,latitude
bryanti,-115.774444,32.605556
bryanti,-116.658333,31.715
bryanti,-119.7513,37.2502
bryanti,-115.340692,30.456789
bryanti,-115.789927,30.253612
bryanti,-109.855,24.235
bryanti,-116.957638,32.508759
bryanti,-115.966667,30.453333
bryanti,-113.3,28.833333
bryanti,-115.366667,30.05
bryanti,-115.729028,30.09513
bryanti,-115.624025,30.075131
bryanti,-115.266667,29.516667
bryanti,-114.165,29.246667
bryanti,-115.266667,29.631667
bryanti,-114.250658,28.71686
bryanti,-114.967351,29.93347
bryanti,-114.737346,29.888473
bryanti,-114.734005,29.750148
bryanti,-115.840516,30.370847
bryanti,-115.485692,30.041803
bryanti,-116.605731,32.133383
bryanti,-101.488779,24.765536
bryanti,-116.04904,30.960097
bryanti,-100.538188,30.498293
bryanti,-97.5063441,26.1265753
bryanti,-117.097,32.666
bryanti,-122.407505,40.4437637
bryanti,-116.167392,32.1333853
bryanti,-118.1436,34.1478
bryanti,-117.3953,33.9533
bryanti,-110.9258,32.2217
bryanti,-111.0833,32.2667
bryanti,-115.825703,30.5667821
bryanti,-116.1683333,30.9616667
bryanti,-98.8333333,26.3
bryanti,-109.6667,23.0167
