assigned,longitude,latitude
guttatus,-98.337783,26.189589
guttatus,-110.75383,31.547167
guttatus,-103.075786,21.632111
guttatus,-99.787117,20.861033
guttatus,-99.807167,20.671833
guttatus,-99.608333,20.606667
guttatus,-104.855,24.01
guttatus,-99.973333,21.87
guttatus,-102.283333,21.883333
guttatus,-99.916667,20.7
guttatus,-103.647222,25.478611
guttatus,-101.000278,25.666944
guttatus,-99.891667,20.475
guttatus,-96.193588,16.969909
guttatus,-116.45,32.431179
guttatus,-104.952119,25.620354
guttatus,-105.638685,26.879056
guttatus,-99.739133,21.0315
guttatus,-105.335455,25.058706
guttatus,-109.033333,32.049999
guttatus,-103.635,25.285
guttatus,-104.7,24.048889
guttatus,-100.643766,23.7914941
guttatus,-103.340399,20.430596
guttatus,-102.228708,21.290557
guttatus,-100.185,20.591667
guttatus,-100.285968,20.5880607
guttatus,-101.3479407,20.7609183
guttatus,-101.25,20.755
guttatus,-101.4206991,20.673613
guttatus,-100.052011,24.667078
guttatus,-102.9333,23.5
guttatus,-111.387382,33.03146
guttatus,-105.333333,27.566667
guttatus,-105.0287273,27.5431414
guttatus,-100.700278,22.432222
guttatus,-100.036163,21.447774
guttatus,-101.7894509,21.2123053
guttatus,-103.652085,23.612115
guttatus,-101.197025,20.4356
guttatus,-99.4404,27.071748
guttatus,-99.171667,20.503333
guttatus,-99.138333,20.29
guttatus,-99.5,20.209074
guttatus,-102.252964,22.026442
guttatus,-103.716483,30.742127
guttatus,-103.25,30.200001
guttatus,-98.083336,29.066668
guttatus,-115.48333,32.666668
guttatus,-111.157276,30.620134
guttatus,-100.067,21.80054
guttatus,-109.099998,31.916666
guttatus,-109.21833,31.934668
guttatus,-109.233333,32.266667
guttatus,-109.37426,32.244186
guttatus,-101.01703,23.51713
guttatus,-99.073333,21.331667
guttatus,-100.97,22.113333
guttatus,-99.75,23.573333
guttatus,-110.666664,32.5
guttatus,-109.316666,31.516666
guttatus,-110.5,31.583334
guttatus,-117.721252,34.111805
guttatus,-96.97667,30.85306
guttatus,-103.1835,20.28344
guttatus,-110.96669,29.0835
guttatus,-100.31129,22.86508
guttatus,-104.3756103,23.5476219
guttatus,-99.7735216,20.2364713
guttatus,-98.635223,24.932575
guttatus,-101.2253814727,22.32972
guttatus,-103.1529999,29.1730003
guttatus,-106.2202835,26.6517546
guttatus,-102.4929644393,22.6893544393
guttatus,-99.325,20.4886111111
guttatus,-110.2945174,31.9678611
guttatus,-103.57687,30.4859591
guttatus,-102.588713,20.3039339
guttatus,-105.38379,25.9170095
guttatus,-101.11536,23.1304735
guttatus,-102.1172222,22.225556
guttatus,-99.3836532,23.4071347
guttatus,-116.0833358765,33.5666656494
guttatus,-110.9333343506,32.2166671753
guttatus,-103.77209,25.10037
guttatus,-101.5337,24.6954
guttatus,-101.38869,24.37708
guttatus,-109.378347,30.4376482
guttatus,-118.4333343506,34.2666664124
guttatus,-97.5,25.8999996185
guttatus,-97.4833297729,26.0666675568
