assigned,longitude,latitude
sandiegensis,-117.845729,33.639792
sandiegensis,-117.606906,33.547681
sandiegensis,-116.989824,32.70452
sandiegensis,-117.558059,33.392161
sandiegensis,-117.951789,33.900271
sandiegensis,-115.6146,31.3487
sandiegensis,-118.406875,33.744377
sandiegensis,-116.361387,35.544987
sandiegensis,-116.75,32.368333
sandiegensis,-116.717406,32.475041
sandiegensis,-117.09463,32.668782
sandiegensis,-116.990463,32.905791
sandiegensis,-117.0170375997,32.5820158
sandiegensis,-116.9706116667,33.0920138333
sandiegensis,-116.8396694751,32.4979875502
sandiegensis,-116.5978137157,31.8395525797
sandiegensis,-117.9458108362,34.1186524746
sandiegensis,-117.1233531829,32.5604647296
sandiegensis,-116.8965194444,32.8460305556
sandiegensis,-116.7129248828,31.7359415813
sandiegensis,-117.6566777778,33.6510527778
sandiegensis,-118.0047216164,34.0006754906
sandiegensis,-118.2061455614,33.7550573676
sandiegensis,-117.0868563652,33.0583802049
sandiegensis,-115.717377,31.3834136
sandiegensis,-117.0313454,32.8071876
sandiegensis,-117.140007,32.7774606
