assigned,longitude,latitude
seri,-114.11,28.83
seri,-114,28.29
seri,-114.52,28.93
seri,-114.72,29.73
seri,-113.63,28.64
seri,-113.6,28.98
seri,-114.15,28.56
seri,-114.1,28.25
seri,-113.26,28.15
seri,-115.03,29.66
seri,-113.93,28.5
seri,-114.91,29.67
seri,-113.81,28.26
seri,-114.17,29.25
seri,-113.76,28.63
seri,-112.85,28.42
seri,-112.38,29
seri,-114.25,28.72
seri,-113.74,28.74
seri,-112.88,28.3
seri,-113.43,28.11
seri,-113.3,28.83
seri,-112.5,29
seri,-112.34,29.22
seri,-112.33,28.76
seri,-113.18,28.83
